Outcome	Year	Championship	Surface	Opponent	Score
Winner	2005	French Open (1)	Clay	Mariano Puerta	6–7 (6–8) , 6–3, 6–1, 7–5
Winner	2006	French Open (2)	Clay	Roger Federer	1–6, 6–1, 6–4, 7–6 (7–4)
Runner-up	2006	Wimbledon (1)	Grass	Roger Federer	0–6, 6–7 (5–7) , 7–6 (7–2) , 3–6
Winner	2007	French Open (3)	Clay	Roger Federer	6–3, 4–6, 6–3, 6–4
Runner-up	2007	Wimbledon (2)	Grass	Roger Federer	6–7 (7–9) , 6–4, 6–7 (3–7) , 6–2, 2–6
Winner	2008	French Open (4)	Clay	Roger Federer	6–1, 6–3, 6–0
Winner	2008	Wimbledon (1)	Grass	Roger Federer	6–4, 6–4, 6–7 (5–7) , 6–7 (8–10) , 9–7
Winner	2009	Australian Open (1)	Hard	Roger Federer	7–5, 3–6, 7–6 (7–3) , 3–6, 6–2
Winner	2010	French Open (5)	Clay	Robin Söderling	6–4, 6–2, 6–4
Winner	2010	Wimbledon (2)	Grass	Tomáš Berdych	6–3, 7–5, 6–4
Winner	2010	US Open (1)	Hard	Novak Djokovic	6–4, 5–7, 6–4, 6–2
Winner	2011	French Open (6)	Clay	Roger Federer	7–5, 7–6 (7–3) , 5–7, 6–1
Runner-up	2011	Wimbledon (3)	Grass	Novak Djokovic	4–6, 1–6, 6–1, 3–6
Runner-up	2011	US Open (1)	Hard	Novak Djokovic	2–6, 4–6, 7–6 (7–3) , 1–6
Runner-up	2012	Australian Open (1)	Hard	Novak Djokovic	7–5, 4–6, 2–6, 7–6 (7–5) , 5–7
Winner	2012	French Open (7)	Clay	Novak Djokovic	6–4, 6–3, 2–6, 7–5
Winner	2013	French Open (8)	Clay	David Ferrer	6–3, 6–2, 6–3
Winner	2013	US Open (2)	Hard	Novak Djokovic	6–2, 3–6, 6–4, 6–1
