State	Name	Hometown	Age 1	Height
Alabama	Keisha Walding	Dothan, AL	24	5'10"
Alaska	Courtney Erin Carroll	Fairbanks, AK	25	5'7"
Arizona	Kimberly Joiner	Gilbert, AZ	22	5'8"
Arkansas	Rachel Howells	Alma, AR	21	5'10"
California	Raquel Beezley	Barstow, CA	21	5'8"
Colorado	Beckie Hughes	Grand Junction, CO	21	5'9
Connecticut	Jacqueline Honulik	Fairfield, CT	21	5'8"
Delaware	Vincenza Carrieri-Russo	Newark, DE	23	5'7"
District of Columbia	Chelsey Sophia Rodgers	Washington, DC	24	5'8"
Florida	Jessica Rafalowski	DeLand, FL	22	5'10"
Georgia	Amanda Kozak	Warner Robins, GA	23	5'10"
Hawaii	Jonelle Layfield	Kane'ohe, HI	23	5'10"
Idaho	Tracey Brown	Post Falls, ID	21	5'9
Illinois	Shanon Lersch	Chicago, IL	25	5'10"
Indiana	Brittany Mason	Anderson, IN	21	5'10"
Iowa	Abbey Curran	Davenport, IA	20	5'5"
Kansas	Michelle Gillespie	Mission Hills, KS	22	5'11"
Kentucky	Alysha Harris	Lexington, KY	20	5'4"
Louisiana	Michelle Berthelot	Hammond, LA	24	5'6"
Maine	Kaetlin Parent	Van Buren, ME	20	5'8"
Maryland	Casandra Tressler	Damascus, MD	22	5'9
Massachusetts	Jacqueline Bruno	Assonet, MA	23	5'10"
Michigan	Elisabeth Crawford	Canton, MI	25	5'8"
Minnesota	Kaylee Unverzagt	Eagan, MN	20	5'10"
Mississippi	Leah Laviano	Ellisville, MS	20	5'4"
Missouri	Candice Crawford	Columbia, MO	21	5'8"
Montana	Tori Wanty	Shelby, MT	21	5'4"
Nebraska	Micaela Johnson	Omaha, NE	23	5'5"
Nevada	Veronica Grabowski	Henderson, NV	23	5'6"
New Hampshire	Breanne Silvi	Nashua, NH	24	5'4"
New Jersey	Tiffany Andrade	Linden, NJ	22	5'5"
New Mexico	Raelene Aguilar	Sunland Park, NM	26	5'8"
New York	Danielle Roundtree	New York, NY	20	5'11"
North Carolina	Andrea Duke	Saluda, NC	26	5'11"
North Dakota	Stephanie Tollefson	New Rockford, ND	21	5'8"
Ohio	Monica Day	Grove City, OH	25	5'9
Oklahoma	Lindsey Jo Harrington	Frederick, OK	22	5'10"
Oregon	Mary Horch	Corvallis, OR	24	5'7"
Pennsylvania	LauRen Merola	Pittsburgh, PA	23	5'8"
Rhode Island	Amy Diaz	Johnston, RI	23	5'6"
South Carolina	Jamie Hill	Columbia, SC	24	5'6"
South Dakota	Charlie Buhler	Mitchell, SD	20	5'5"
Tennessee	Hailey Laine Brown	Franklin, TN	25	5'9
Texas	Crystle Stewart	Missouri City, TX	26	5'9
Utah	Julia Bachison	North Ogden, UT	24	5'7"
Vermont	Kim Tantlinger	Burlington, VT	22	5'7"
Virginia	Tori Hall	Roanoke, VA	21	5'8"
Washington	Michelle Font	Renton, WA	26	5'7"
West Virginia	Skylene Montgomery	Parkersburg, WV	23	5'7"
Wisconsin	Michelyn Cynthia Butler	Madison, WI	25	5'8"
Wyoming	Cassie Shore	Casper, WY	22	5'5"
