Stage	Date	Course	Distance	Winner	Race Leader
1	14 May	Milan to Vicenza	km (mi)	Learco Guerra ( ITA )	Learco Guerra ( ITA )
2	15 May	Vicenza to Udine	km (mi)	Hermann Buse ( GER )	Hermann Buse ( GER )
3	17 May	Udine to Ferrara	km (mi)	Fabio Battesini ( ITA )	Hermann Buse ( GER )
4	18 May	Ferrara to Rimini	km (mi)	Learco Guerra ( ITA )	Hermann Buse ( GER )
5	20 May	Rimini to Teramo	km (mi)	Raffaele Di Paco ( ITA )	Hermann Buse ( GER )
6	22 May	Teramo to Lanciano	km (mi)	Learco Guerra ( ITA )	Hermann Buse ( GER )
7	24 May	Lanciano to Foggia	km (mi)	Antonio Pesenti ( ITA )	Antonio Pesenti ( ITA )
8	26 May	Foggia to Naples	km (mi)	Learco Guerra ( ITA )	Antonio Pesenti ( ITA )
9	28 May	Naples to Rome	km (mi)	Learco Guerra ( ITA )	Antonio Pesenti ( ITA )
10	30 May	Rome to Florence	km (mi)	Ettore Meini ( ITA )	Antonio Pesenti ( ITA )
11	1 June	Florence to Genoa	km (mi)	Remo Bertoni ( ITA )	Antonio Pesenti ( ITA )
12	3 June	Genoa to Turin	km (mi)	Ettore Meini ( ITA )	Antonio Pesenti ( ITA )
13	5 June	Turin to Milan	km (mi)	Learco Guerra ( ITA )	Antonio Pesenti ( ITA )
Total	Total	km (mi)	km (mi)	km (mi)	km (mi)
