Season	Skip	Third	Second	Lead
2004–05	Pat Simmons	Jeff Sharp	Chris Haichert	Ben Hebert
2005–06	Pat Simmons	Jeff Sharp	Chris Haichert	Ben Hebert
2006–07	Kevin Martin	John Morris	Marc Kennedy	Ben Hebert
2007–08	Kevin Martin	John Morris	Marc Kennedy	Ben Hebert
2008–09	Kevin Martin	John Morris	Marc Kennedy	Ben Hebert
2009–10	Kevin Martin	John Morris	Marc Kennedy	Ben Hebert
2010–11	Kevin Martin	John Morris	Marc Kennedy	Ben Hebert
2011–12	Kevin Martin	John Morris	Marc Kennedy	Ben Hebert
2012–13	Kevin Martin	John Morris	Marc Kennedy	Ben Hebert
2013–14	Kevin Martin	David Nedohin	Marc Kennedy	Ben Hebert
