Player	No.(s)	Height in Ft.	Position	Years for Rockets	School/Club Team/Country
Jackson, Bobby Bobby Jackson	8	6-1	Guard	2008	Minnesota
Jackson, Jaren Jaren Jackson	12	6-4	Guard	1995	Georgetown
Jackson, Jim Jim Jackson	21	6-6	Guard / Forward	2003-05	Ohio State
Jackson, Mark Mark Jackson	31	6-1	Guard	2003-04	St. John's
Jamerson, Dave Dave Jamerson	32	6-5	Guard	1990-92	Ohio
James, Henry Henry James	21	6-8	Forward	1995	St. Mary's
James, Mike Mike James	7, 13	6-2	Guard	2005, 2007-08	Duquesne
Jeffries, Jared Jared Jeffries	20	6-11	Forward / Center	2010-11	Indiana
Jent, Chris Chris Jent	21	6-7	Guard	1993-94	Ohio State
Johnson, Alexander Alexander Johnson	30	6-9	Forward	2010-11	Florida State
Johnson, Avery Avery Johnson	6	5-11	Guard	1991-92	Southern University
Johnson, Buck Buck Johnson	1	6-7	Forward	1986-92	Alabama
Johnson, Eddie Eddie Johnson	8	6-7	Guard / Forward	1996-98	Illinois
Johnson, Frank Frank Johnson	15	6-1	Guard	1988-89	Wake Forest
Johnson, George George Johnson	6, 16	6-7	Forward	1972-74	St. John's
Johnson, John John Johnson	27, 34	6-7	Forward	1975-77	Iowa
Johnson, Lee Lee Johnson	1	6-11	Forward	1980	East Texas State
Jones, Bobby Bobby Jones	15	6-7	Forward	2008	Washington
Jones, Caldwell Caldwell Jones	27	6-11	Center / Forward	1982-84	Albany State
Jones, Charles Charles Jones	27	6-9	Forward / Center	1994-98	Albany State
Jones, Dwight Dwight Jones	13	6-10	Forward / Center	1976-80	Houston
Jones, Major Major Jones	11	6-9	Forward / Center	1979-84	Albany State
Jones, Nick Nick Jones	12	6-2	Guard	1967-68	Oregon
Jones, Robin Robin Jones	34	6-9	Center	1977-78	St. Louis
