Place	Player	Country	Score	To par	Money ( £ )
T1	John Daly	United States	67-71-73-71=282	–6	Playoff
T1	Costantino Rocca	Italy	69-70-70-73=282	–6	Playoff
T3	Steven Bottomley	England	70-72-72-69=283	–5	65,667
T3	Mark Brooks	United States	70-69-73-71=283	–5	65,667
T3	Michael Campbell	New Zealand	71-71-65-76=283	–5	65,667
T6	Steve Elkington	Australia	72-69-69-74=284	–4	40,500
T6	Vijay Singh	Fiji	68-72-73-71=284	–4	40,500
T8	Bob Estes	United States	72-70-71-72=285	–3	33,333
T8	Mark James	England	72-75-68-70=285	–3	33,333
T8	Corey Pavin	United States	69-70-72-74=285	–3	33,333
