Round	Pick #	Overall	Name	Position	College
2	5	31	Leo Carroll	Defensive End	San Diego State
3	4	57	Jimmy Jordan	Running Back	Florida
5	5	112	Bill Delaney	Tight End	American International
5	13	120	Randy Matson	Defensive Tackle	Texas A&M
6	15	148	Eugene Snipes	Running Back	Elizabeth City
6	18	151	Martine Bircher	Defensive Back	Arkansas
7	3	162	Corey Colehour	Quarterback	North Dakota
9	4	215	Bob Moten	Wide Receiver	Bishop College
10	3	240	Dick Schafroth	Offensive Tackle	Iowa State
11	5	268	John Walker	Linebacker	Jackson State
12	3	293	Bill Gentry	Linebacker	North Carolina State
13	2	317	Sandor Szabo	Kicker	Ithaca
14	5	346	Tom Bryan	Running Back	Auburn
15	4	371	Al Nicholas	Running Back	Sacramento State
16	3	396	Larry Chester	Defensive Back	Allen
17	5	424	Bill Buckner	Quarterback	Delta State
