Position	Game 1	Game 2	Game 3	Game 4
Fullback	Garry Jack	Garry Jack	Garry Jack	Jonathan Docking
Wing	Michael O'Connor	Michael O'Connor	Brian Johnston	Brian Johnston
Centre	Mark McGaw	Mark McGaw	Brett Kenny	Mark McGaw
Centre	Brian Johnston	Brian Johnston	Michael O'Connor	Michael O'Connor
Wing	Andrew Ettingshausen	Andrew Farrar	Andrew Ettingshausen	Andrew Ettingshausen
Five-Eighth	Brett Kenny	Brett Kenny	Cliff Lyons	Cliff Lyons
Halfback	Peter Sterling	Peter Sterling	Peter Sterling	Peter Sterling (c)
Prop	Les Davidson	David Boyle	Peter Tunks	Peter Tunks
Hooker	Royce Simmons	Royce Simmons	Royce Simmons	Royce Simmons
Prop	Pat Jarvis	Pat Jarvis	Phil Daley	Phil Daley
Second Row	Steve Folkes	Steve Folkes	David Boyle	Noel Cleal
Second Row	Noel Cleal	Les Davidson	Les Davidson	Les Davidson
Lock	Wayne Pearce (c)	Wayne Pearce (c)	Wayne Pearce (c)	Paul Langmack
Replacement	Des Hasler	Des Hasler	Mark McGaw	Des Hasler
Replacement	David Boyle	Paul Langmack	Steve Folkes	David Boyle
