Frequency	Call sign	Branding	Format	Owner
1150 AM	CKFR	AM 1150	news / talk	Astral Media
00 88.9 FM	CBTK-FM	CBC Radio One	public news / talk	Canadian Broadcasting Corporation
00 89.7 FM	CBU-FM-3	CBC Radio 2	public music	Canadian Broadcasting Corporation
00 90.5 FM	CBUF-FM-2	Première Chaîne	public news / talk	Canadian Broadcasting Corporation
00 96.3 FM	CKKO-FM	K96.3	classic rock	Sun Country Cablevision
00 99.9 FM	CHSU-FM	99.9 Sun FM	Contemporary Hits Radio	Bell Media
0 101.5 FM	CILK-FM	101.5 EZ Rock	adult contemporary	Bell Media
0 103.1 FM	CKQQ-FM	Q103	hot adult contemporary	Jim Pattison Group
0 103.9 FM	CJUI-FM	103.9 The Juice	adult hits	Vista Broadcast Group
0 104.7 FM	CKLZ-FM	Power 104	active rock	Jim Pattison Group
