Rank	Name	Season	Club	minutes
1	Abel Resino	1990/91	Atlético Madrid	1275
2	Miguel Reina	1972/73	Barcelona	824
3	Edgardo Madinabeytia	1965/66	Atlético Madrid	793
4	Luis Arconada	1979/80	Real Sociedad	753
5	Victor García [ disambiguation needed ]	1990/91 to 1991/92	Real Oviedo	732
6	Francisco Liaño	1993/94 to 1994/95	Deportivo	715
7	Francisco Buyo	1994/95	Real Madrid	709
8	Santiago Cañizares	1997/98	Real Madrid	709
9	Ángel Abelardo	1970/71	Valencia	703
10	Emilio Isierte	1991/92	Sporting Gijón	703
