Grid	Constructor	Qual	Rank	Laps	Time/retired
1	Kurtis Kraft - Offenhauser	138.39	1	200	3:53:01.69
12	Kurtis Kraft - Offenhauser	137.31	8	200	+3:30.87
9	Kurtis Kraft - Offenhauser	137.53	5	200	+4:11.50
2	Kurtis Kraft - Offenhauser	137.54	4	200	+4:39.24
3	Kurtis Kraft - Offenhauser	136.6	13	200	+7:49.64
21	Kurtis Kraft - Offenhauser	135.74	23	200	+8:10.21
25	Kurtis Kraft - Offenhauser	135.66	27	200	+8:46.02
20	Stevens - Offenhauser	135.92	22	200	+10:04.55
6	Kuzma - Offenhauser	136.02	20	196	Accident
32	Kurtis Kraft - Offenhauser	135.26	31	193	+7 laps
26	Kurtis Kraft - Novi	135.46	30	191	Accident
19	Kurtis Kraft - Offenhauser	135.93	21	190	+10 laps
4	Kuzma - Offenhauser	136.38	15	184	Engine
31	Schroeder - Offenhauser	135.5	29	183	+17 laps
28	Kurtis Kraft - Offenhauser	137.86	2	177	Magneto
10	Kurtis Kraft - Offenhauser	137.46	6	177	Axle
14	Kurtis Kraft - Offenhauser	137.11	10	176	+24 laps
22	Kurtis Kraft - Offenhauser	135.72	25	169	Oil Leak
18	Kurtis Kraft - Offenhauser	136.16	17	166	Oil Leak
29	Kuzma - Offenhauser	136.87	11	151	Suspension
23	Turner - Offenhauser	135.7	26	146	Transmission
24	Kuzma - Offenhauser	135.66	28	115	Accident
7	Kurtis Kraft - Offenhauser	135.73	24	107	Overheating
27	Lesovsky - Offenhauser	135.26	32	94	Ignition
17	Kurtis Kraft - Offenhauser	136.21	16	89	Magneto
8	Kurtis Kraft - Offenhauser	137.66	3	86	Engine
15	Watson - Offenhauser	136.86	12	76	Accident
13	Kurtis Kraft - Offenhauser	137.26	9	53	Accident
16	Kuzma - Offenhauser	136.56	14	42	Fuel Leak
30	Kurtis Kraft - Offenhauser	136.09	18	30	Magneto
11	Bromme - Offenhauser	137.43	7	14	Oil Leak
33	Del Roy - Offenhauser	135.26	33	6	Ignition
5	Stevens - Offenhauser	136.06	19	3	Accident
