Round	Pick #	Overall	Name	Position	College
1	9	9	Reggie Williams	Wide Receiver	Washington
2	7	39	Daryl Smith	Linebacker	Georgia Tech
2	23	55	Greg Jones	Fullback	Florida State
3	23	86	Jorge Cordova	Linebacker	Nevada
4	22	118	Anthony Maddox	Defensive Tackle	Delta State
4	24	120	Ernest Wilford	Wide Receiver	Virginia Tech
5	5	137	Josh Scobee	Kicker	Louisiana Tech
5	18	150	Chris Thompson	Cornerback	Nicholls State
5	27	159	Sean Bubin	Offensive Tackle	Illinois
7	48	249	Bobby McCray	Defensive End	Florida
