#	Date	Visitor	Score	Home	Leading scorer	Attendance	Record	Streak
17	December 2	Portland Trail Blazers	L 79–100	San Antonio Spurs	Parker : 27	AT&T Center 18,797	5–12	L4
18	December 3	Portland Trail Blazers	W 106–105	Memphis Grizzlies	Gay : 30 Gasol : 30	FedExForum 11,317	6–12	W1
19	December 6	Miami Heat	W 106–112	Portland Trail Blazers	Roy : 25	Rose Garden 19,980	7–12	W2
20	December 9	Milwaukee Bucks	W 113–117 OT	Portland Trail Blazers	Williams : 30	Rose Garden 18,317	8–12	W3
21	December 11	Portland Trail Blazers	W 97–89	Utah Jazz	Boozer : 29	EnergySolutions Arena 19,911	9–12	W4
22	December 12	Golden State Warriors	W 95–105	Portland Trail Blazers	Davis : 23	Rose Garden 15,943	10–12	W5
23	December 14	Utah Jazz	W 91–99	Portland Trail Blazers	Roy : 29	Rose Garden 19,980	11–12	W6
24	December 16	Portland Trail Blazers	W 116–105	Denver Nuggets	Iverson : 38	Pepsi Center 13,678	12–12	W7
25	December 17	New Orleans Hornets	W 76–88	Portland Trail Blazers	Roy : 24	Rose Garden 15,183	13–12	W8
26	December 19	Toronto Raptors	W 96–101	Portland Trail Blazers	Roy : 25	Rose Garden 16,066	14–12	W9
27	December 21	Denver Nuggets	W 96–99	Portland Trail Blazers	Anthony : 34 Iverson : 34	Rose Garden 20,644	15–12	W10
28	December 25	Seattle SuperSonics	W 79–89	Portland Trail Blazers	Durant : 23	Rose Garden 20,527	16–12	W11
29	December 28	Minnesota Timberwolves	W 98–109	Portland Trail Blazers	Roy : 22 Jefferson : 22	Rose Garden 20,491	17–12	W12
30	December 30	Philadelphia 76ers	W 72–97	Portland Trail Blazers	Iguodala : 24	Rose Garden 20,464	18–12	W13
