Opponent	OVERALL	HOME	AWAY	PLYFF
Abilene Ruff Riders	(1-0)	(1-0)	(0-0)	(0-0)
Alaska Wild	(1-0)	(1-0)	(0-0)	(0-0)
Allen Wranglers	(3-3)	(1-1)	(2-2)	(1-0)
Amarillo Venom	(1-0)	(1-0)	(0-0)	(0-0)
Billings Outlaws	(0-2)	(0-1)	(0-1)	(0-0)
Bloomington Edge *	(6-3)	(4-1)	(2-2)	(2-0)
Bricktown Brawlers	(1-0)	(0-0)	(1-0)	(0-0)
Colorado Ice	(3-1)	(1-0)	(2-1)	(0-0)
Green Bay Blizzard	(0-3)	(0-1)	(0-2)	(0-0)
Kansas Koyotes	(1-0)	(1-0)	(0-0)	(0-0)
La Crosse Spartans	(1-0)	(1-0)	(0-0)	(0-0)
Nebraska Danger	(2-2)	(2-0)	(0-2)	(0-0)
New Mexico Stars	(2-0)	(1-0)	(1-0)	(0-0)
Oklahoma Defenders	(1-0)	(0-0)	(1-0)	(0-0)
Omaha Beef	(6-8)	(3-3)	(3-5)	(1-0)
RiverCity Rage	(3-4)	(2-3)	(1-1)	(0-1)
Rochester Raiders	(1-0)	(1-0)	(0-0)	(1-0)
Salina Bombers	(3-0)	(2-0)	(1-0)	(1-0)
San Angelo Stampede	(2-0)	(1-0)	(1-0)	(0-0)
Sioux City Bandits	(3-3)	(1-1)	(2-2)	(0-0)
Sioux Falls Storm	(1-9)	(0-5)	(1-4)	(0-1)
Tri-Cities Fever	(0-1)	(0-0)	(0-1)	(0-1)
West Texas Roughnecks ***	(2-1)	(1-1)	(1-0)	(0-0)
