Representative	Title	Presentation of Credentials	Termination of Mission	Appointed by
Dabney H. Maury	Envoy Extraordinary and Minister Plenipotentiary	January 20, 1887	June 22, 1889	Grover Cleveland
John T. Abbott	Envoy Extraordinary and Minister Plenipotentiary	June 22, 1889	July 17, 1893	Benjamin Harrison
Luther F. McKinney	Envoy Extraordinary and Minister Plenipotentiary	July 17, 1893	December 6, 1896	Grover Cleveland
Charles Burdett Hart	Envoy Extraordinary and Minister Plenipotentiary	July 19, 1897	March 19, 1903	William McKinley
Arthur M. Beaupre	Envoy Extraordinary and Minister Plenipotentiary	April 13, 1903	December 19, 1903	Theodore Roosevelt
William W. Russell	Envoy Extraordinary and Minister Plenipotentiary	December 9, 1904	May 24, 1905	Theodore Roosevelt
John Barrett	Envoy Extraordinary and Minister Plenipotentiary	November 27, 1905	September 24, 1906	Theodore Roosevelt
Thomas C. Dawson	Envoy Extraordinary and Minister Plenipotentiary	October 16, 1907	April 25, 1909	Theodore Roosevelt
Elliott Northcott	Envoy Extraordinary and Minister Plenipotentiary	August 13, 1909	September 16, 1910	William H. Taft
James T. DuBois	Envoy Extraordinary and Minister Plenipotentiary	November 18, 1911	March 1, 1913	William H. Taft
Thaddeus Austin Thompson	Envoy Extraordinary and Minister Plenipotentiary	August 30, 1913	June 26, 1916	Woodrow Wilson
Hoffman Philip	Envoy Extraordinary and Minister Plenipotentiary	February 22, 1919	May 29, 1922	Woodrow Wilson
Samuel H. Piles	Envoy Extraordinary and Minister Plenipotentiary	May 29, 1922	September 17, 1928	Warren G. Harding
Jefferson Caffery	Envoy Extraordinary and Minister Plenipotentiary	November 28, 1928	May 20, 1933	Calvin Coolidge
Sheldon Whitehouse	Envoy Extraordinary and Minister Plenipotentiary	December 6, 1933	December 8, 1934	Franklin D. Roosevelt
William Dawson	Envoy Extraordinary and Minister Plenipotentiary	May 6, 1935	November 16, 1937	Franklin D. Roosevelt
Spruille Braden	Ambassador Extraordinary and Plenipotentiary	February 15, 1939	March 12, 1942	Franklin D. Roosevelt
Arthur Bliss Lane	Ambassador Extraordinary and Plenipotentiary	April 30, 1942	October 18, 1944	Franklin D. Roosevelt
John C. Wiley	Ambassador Extraordinary and Plenipotentiary	December 16, 1944	May 3, 1947	Franklin D. Roosevelt
Willard L. Beaulac	Ambassador Extraordinary and Plenipotentiary	September 30, 1947	June 29, 1951	Harry S. Truman
Capus M. Waynick	Ambassador Extraordinary and Plenipotentiary	August 23, 1951	September 21, 1953	Harry S. Truman
Rudolf E. Schoenfeld	Ambassador Extraordinary and Plenipotentiary	January 28, 1954	January 26, 1955	Dwight D. Eisenhower
Philip W. Bonsal	Ambassador Extraordinary and Plenipotentiary	April 1, 1955	April 24, 1957	Dwight D. Eisenhower
John M. Cabot	Ambassador Extraordinary and Plenipotentiary	July 12, 1957	July 15, 1959	Dwight D. Eisenhower
Dempster McIntosh	Ambassador Extraordinary and Plenipotentiary	July 30, 1959	January 6, 1961	Dwight D. Eisenhower
Fulton Freeman	Ambassador Extraordinary and Plenipotentiary	June 15, 1961	March 14, 1964	John F. Kennedy
Covey T. Oliver	Ambassador Extraordinary and Plenipotentiary	August 13, 1964	August 29, 1966	Lyndon B. Johnson
Reynold E. Carlson	Ambassador Extraordinary and Plenipotentiary	October 6, 1966	June 2, 1969	Lyndon B. Johnson
Jack Hood Vaughn	Ambassador Extraordinary and Plenipotentiary	June 9, 1969	June 25, 1970	Richard Nixon
Leonard J. Saccio	Ambassador Extraordinary and Plenipotentiary	February 24, 1971	July 12, 1973	Richard Nixon
Viron P. Vaky	Ambassador Extraordinary and Plenipotentiary	April 5, 1974	June 23, 1976	Richard Nixon
Phillip V. Sanchez	Ambassador Extraordinary and Plenipotentiary	September 2, 1976	April 5, 1977	Gerald Ford
Diego C. Asencio	Ambassador Extraordinary and Plenipotentiary	December 6, 1977	June 22, 1980	Jimmy Carter
Thomas D. Boyatt	Ambassador Extraordinary and Plenipotentiary	December 3, 1980	April 14, 1983	Jimmy Carter
Lewis Arthur Tambs	Ambassador Extraordinary and Plenipotentiary	May 2, 1983	February 15, 1985	Ronald Reagan
Charles A. Gillespie, Jr.	Ambassador Extraordinary and Plenipotentiary	August 28, 1985	September 19, 1988	Ronald Reagan
Thomas Edmund McNamara	Ambassador Extraordinary and Plenipotentiary	October 4, 1988	August 14, 1991	Ronald Reagan
Morris D. Busby	Ambassador Extraordinary and Plenipotentiary	September 18, 1991	July 5, 1994	George H. W. Bush
Myles Robert Rene Frechette	Ambassador Extraordinary and Plenipotentiary	July 25, 1994	November 8, 1997	Bill Clinton
Curtis W. Kamman	Ambassador Extraordinary and Plenipotentiary	March 19, 1998	August 15, 2000	Bill Clinton
Anne W. Patterson	Ambassador Extraordinary and Plenipotentiary	August 24, 2000	June 11, 2003	Bill Clinton
William B. Wood	Ambassador Extraordinary and Plenipotentiary	August 13, 2003	March 12, 2007	George W. Bush
William Brownfield	Ambassador Extraordinary and Plenipotentiary	September 12, 2007	August 3, 2010	George W. Bush
P. Michael McKinley	Ambassador Extraordinary and Plenipotentiary	August 3, 2010	Incumbent	Barack H. Obama
