Rank	Heat	Lane	Name	Nationality	Time
1	6	4	Jessicah Schipper	Australia	57.58
2	5	4	Christine Magnuson	United States	57.70
2	6	3	Zhou Yafei	China	57.70
4	4	5	Tao Li	Singapore	57.77
5	5	8	Gabriella Silva	Brazil	58.00
6	5	5	Elaine Breeden	United States	58.06
7	4	1	Ilaria Bianchi	Italy	58.12
8	5	1	Lize-Mari Retief	South Africa	58.20
9	6	5	Inge Dekker	Netherlands	58.22
10	7	7	Aurore Mongel	France	58.30
11	5	6	Natalya Sutyagina	Russia	58.32
12	7	4	Lisbeth Trickett	Australia	58.37
13	6	2	Eszter Dara	Hungary	58.39
14	7	2	Alena Popchanka	France	58.40
15	5	3	Jeanette Ottesen	Denmark	58.44
16	7	5	Jemma Lowe	Great Britain	58.49
17	4	6	Otylia Jędrzejczak	Poland	58.53
18	4	2	Mandy Loots	South Africa	58.61
18	5	2	Yuko Nakanishi	Japan	58.61
20	4	4	Sara Isakovič	Slovenia	58.68
21	7	3	Francesca Halsall	Great Britain	58.70
22	6	6	Irina Bespalova	Russia	58.92
23	6	7	Yuka Kato	Japan	58.94
24	4	3	Kateryna Zubkova	Ukraine	58.99
25	6	1	Martina Moravcová	Slovakia	59.03
26	3	4	Birgit Koschischek	Austria	59.07
27	7	6	Sarah Sjöström	Sweden	59.08
28	4	8	Audrey Lacroix	Canada	59:10
28	6	8	Micha Kathrine Østergaard Jensen	Denmark	59.10
30	3	1	Hannah Wilson	Hong Kong	59.35
30	5	7	Chantal Groot	Netherlands	59.35
32	2	4	Triin Aljand	Estonia	59.43
32	7	8	Xu Yanwei	China	59.43
34	4	7	Daynara de Paula	Brazil	59.45
35	3	6	Sara Oliveira	Portugal	59.48
36	3	5	Anna Gostomelsky	Israel	59.50
37	3	2	Ingvild Snildal	Norway	59.86
38	3	7	Carolina Colorado	Colombia	1:00.06
39	7	1	Daniela Samulski	Germany	1:00.37
40	2	5	Choi Hye-Ra	South Korea	1:00.65
41	3	3	Eirini Kavarnou	Greece	1:00.74
42	3	8	Heather Brand	Zimbabwe	1:01.39
43	2	6	Yang Chin-Kuei	Chinese Taipei	1:01.60
44	2	3	Iris Rosenberger	Turkey	1:01.67
45	2	2	Natalia Hadjiloizou	Cyprus	1:01.80
46	2	7	Emilia Pikkarainen	Finland	1:02.31
47	1	5	Binta Zahra Diop	Senegal	1:04.26
48	1	4	Antonella Scanavino	Uruguay	1:04.28
49	1	3	Simona Muccioli	San Marino	1:04.91
