Place	Player	Country	Score	To par	Money ( $ )
1	Henry Picard	United States	71-72-72-70=285	–3	1,500
T2	Harry Cooper	United States	68-77-71-71=287	–1	700
T2	Ralph Guldahl	United States	73-70-73-71=287	–1	700
4	Paul Runyan	United States	71-73-74-70=288	E	500
5	Byron Nelson	United States	73-74-70-73=290	+2	400
T6	Ed Dudley	United States	70-69-77-75=291	+3	275
T6	Felix Serafin	United States	72-71-78-70=291	+3	275
T8	Dick Metz	United States	70-77-74-71=292	+4	175
T8	Jimmy Thomson	Scotland United States	74-70-76-72=292	+4	175
T10	Vic Ghezzi	United States	75-74-70-74=293	+5	100
T10	Jimmy Hines	United States	75-71-75-72=293	+5	100
T10	Lawson Little	United States	72-75-74-72=293	+5	100
