Year	Beer Name	Prize	Category	Competition
1995	Good Old Boy	Overall Winner	Beer of the Festival	CAMRA White Horse Branch Beer Festival
1997	Dr Hexter's Healer	Runner Up	Beer of the Festival	CAMRA Northamptonshire Branch Beer Festival
2002	Good Old Boy	Gold Medal	Best Bitter	SIBA South East Region Beer Competition
2002	Good Old Boy	Second Reserve Champion	Overall	SIBA South East Region Beer Competition
2002	Maggs Magnificent Mild	Gold Medal	Mild and Porter	SIBA South East Region Beer Competition
2002	Mr Chubb's Lunchtime Bitter	Silver Medal	Standard Bitter	SIBA South East Region Beer Competition
2002	Dr Hexter's Healer	Silver Medal	Strong Ale	SIBA South East Region Beer Competition
2003	Maggs Magnificent Mild	Gold Medal	Mild and Porter	SIBA National Beer Competition
2003	Full Circle	Silver Medal	Best Bitter	CAMRA Great British Beer Festival
2004	Maggs Magnificent Mild	Overall Winner	Beer of the Festival	Bracknell Blues and Real Ale Festival
2005	Maggs Magnificent Mild	Gold Medal	Mild	CAMRA Reading Branch Beer Festival
2005	Maggs Magnificent Mild	Third Place	Overall	CAMRA Reading Branch Beer Festival
2005	Maggs Magnificent Mild	Gold Medal	Mild	SIBA South East Region Beer Competition
2005	Maggs Magnificent Mild	Bronze Medal	Overall	SIBA South East Region Beer Competition
2005	Good Old Boy	Silver Medal	Best Bitter	SIBA South East Region Beer Competition
2005	Dr Hexter's Wedding Ale	Third Place	Best Bitter	Norwich Beer Festival
2006	Maggs Magnificent Mild	Silver Medal	Mild	SIBA National Beer Competition
2006	Maggs Magnificent Mild	Silver Medal	Mild	CAMRA Reading Branch Beer Festival
2006	Old Father Thames	Bronze Medal	Light Bitters	SIBA South East Region Beer Competition
2007	Skiff	Gold Medal	Standard Bitter	CAMRA Reading Branch Beer Festival
2007	Full Circle	Bronze Medal	Premium Biter	CAMRA Reading Branch Beer Festival
2007	Mash Tun	Bronze Medal	Best Bitter	CAMRA Reading Branch Beer Festival
2008	Dr Hexter's Healer	Gold Medal	Best Local Beer	CAMRA Reading Branch Beer Festival
2008	Mr Chubb's Lunchtime Bitter	Gold Medal	In Category	CAMRA Reading Branch Beer Festival
2008	Maggs Magnificent Mild	Silver Medal	In Category	CAMRA Reading Branch Beer Festival
2009	Dr Hexter's Healer	Gold Medal	Best Local Beer	CAMRA Reading Branch Beer Festival
2009	Dr Hexter's Healer	Gold Medal	In Category	CAMRA London and South East Regional competition
2009	Good Old Boy	Gold Medal	In Category	CAMRA London and South East Regional competition
