Year	Competition	Awards	Category	Result
2008	Sabah Ministry Youth & Sports	Sabah Youth Icon Award	Stacy	Won
2008	Anugerah Juara Lagu 23	Aku Stacy	Stacy	Nominated
2009	Anugerah Bintang Popular Berita Harian 22	Popular New Female Artist	Stacy	Won
2009	Anugerah Planet Muzik	Best New Female Artist	Stacy	Nominated
2009	Anugerah Planet Muzik	Most Popular Malaysian Artist	Stacy	Nominated
2009	Shout! Awards	Popstar Award	Stacy	Won
2009	JCI The Outstanding Young Persons of Sabah	Cultural and Artistic Achievement	Stacy	Won
2009	Anugerah Juara Lagu 24	Pakai Buang	Stacy	Nominated
2009	Anugerah Juara Lagu 24	Hotlink People's Choice Award	Pakai Buang	Won
2010	Anugerah Bintang Popular Berita Harian 23	Popular Female Singer	Stacy	Nominated
2010	HipTV Awards	Cutest Artist	Stacy	Won
2010	Anugerah Industri Muzik 17	Best Pop Album	Aku Stacy	Nominated
2010	Anugerah Juara Lagu 25	Jahat	Stacy	Nominated
2011	Anugerah Bintang Popular Berita Harian 24	Popular Female Singer	Stacy	Nominated
2011	DiGi WWWOW Awards	Fave Malaysian Female Online Celebrity	Stacy	Won
2012	Pilihan Pembaca Media Hiburan	Anugerah Artis Stylo	Stacy	Won
2012	Anugerah Bintang Popular Berita Harian 25	Popular Female Singer	Stacy	Nominated
2012	Anugerah Bintang Popular Berita Harian 25	Most Popular Female Artist Online	Stacy	Won
2012	Anugerah Industri Muzik 19	Best Album	Stay-C	Nominated
2012	Anugerah Industri Muzik 19	Best Song Arrangement	Kasanova	Nominated
2012	Anugerah Industri Muzik 19	Best Music Video	Pelangi Senja	Nominated
2012	Anugerah MACP 2012	Malay song: Highest Performance Category	Pakai Buang	Won
2013	Anugerah Juara Lagu 27	Pelangi Senja	Stacy	Nominated
2013	Shorty Awards (Fifth Annual)	Best Singer in Social Media	Stacy	Nominated
2013	Shorty Awards (Fifth Annual)	Best Reality Star in Social Media	Stacy	Nominated
2013	Shorty Awards (Fifth Annual)	Best Music in Social Media	Stacy	Nominated
