Country	Currency	1 Euro =	1 USD =	Central bank
Argentina	Argentine peso (ARS)	5.65	4.20	Central Bank of Argentina
Bolivia	Bolivian boliviano (BOB)	11.0985	7.57080	Central Bank of Bolivia
Brazil	Brazilian real (BRL)	2.58963	1.76650	Central Bank of Brazil
Chile	Chilean peso (CLP)	701.020	$507.580	Central Bank of Chile
Colombia	Colombian peso (COP)	2,593.20	1,885.74	Bank of the Republic
Ecuador	U.S. dollar (USD)	1.46611	1	Federal Reserve
Guyana	Guyanese dollar (GYD)	297.547	202.950	Bank of Guyana
Paraguay	Paraguayan guaraní (PYG)	6,802.74	4,640.00	Central Bank of Paraguay
Peru	Peruvian nuevo sol (PEN)	4.26966	2.72440	Central Reserve Bank of Peru
Suriname	Surinamese dollar (SRD)	4.10543	2.80000	Central Bank of Suriname
Uruguay	Uruguayan peso (UYU)	31.1529	21.2470	Central Bank of Uruguay
Venezuela	Venezuelan bolívar fuerte (VEF)	6.16331	4.30000	Central Bank of Venezuela
