Episode	Rating	Share	Rating/Share (18–49)	Viewers (millions)	Weekly Rank
"You Guys Are Dumber Than You Look"	8.1	13	4.8/13	13.87	#8
"The Sounds of Jungle Love"	7.6	12	4.5/13	13.12	#6
"I Should Be Carried on the Chariot-Type Thing!"	7.3	11	4.0/10	12.55	#8
"That's Baked, Barbecued and Fried!"	7.5	12	4.2/11	12.47	#10
"He's a Ball of Goo!"	7.3	11	4.0/10	12.06	#8
"It Hit Everyone Pretty Hard"	7.9	13	4.2/13	13.06	#3
"Like a Wide-Eyed Kid in the Candy Store"	6.7	11	3.7/10	11.34	#6
"A Lost Puppy Dog"	7.5	12	3.8/9	12.84	#11
"I'm in Such a Hot Pickle!"	6.9	11	3.8/11	11.68	#17
"I Promise..."	7.4	13	3.8/12	12.09	#11
"I'm Ruthless...and Have a Smile on My Face"	7.9	13	4.2/13	12.98	#12
"I'm Gonna Fix Her!"	7.7	13	4.0/12	12.53	#14
"If It Smells Like a Rat, Give It Cheese"	7.7	13	4.1/12	11.98	#9
"Stir the Pot!"	7.2	12	4.4/12	12.92	#11
"The Reunion"	6.0	10	3.9/10	10.84	#12
