Player	Nationality	Position	Dynamo career	Appearances	Goals
Sven Baum Category:Articles with hCards	Germany	Midfielder	1995–1997	44	7
Stefan Bernhardt Category:Articles with hCards	Germany	Midfielder	1996–1999	56	1
René Beuchel Category:Articles with hCards	Germany	Midfielder	1992–1995 2002–2007	172	16
Horst Beulig Category:Articles with hCards	East Germany	Midfielder	1950–1953	43	0
Torsten Bittermann Category:Articles with hCards	Germany	Defender	2002–2005	56	1
Claus Boden Category:Articles with hCards	East Germany	Goalkeeper	1971–1981	153	0
Thomas Bröker Category:Articles with hCards	Germany	Forward	2005–2006 2007–2009	97	23
Branislav Bulatović Category:Articles with hCards	Yugoslavia	Defender	1999–2001	47	4
Steffen Büttner Category:Articles with hCards	Germany	Defender	1985–1992	121	3
Stanislav Cherchesov Category:Articles with hCards	Russia	Goalkeeper	1993–1995	62	0
Cataldo Cozza Category:Articles with hCards	Germany	Defender	2007–2010	74	0
Levente Csik Category:Articles with hCards	Romania	Defender	2001–2007	157	4
Dario Dabac Category:Articles with hCards	Croatia	Defender	2001–2003	60	1
Pavel David Category:Articles with hCards	Czech Republic	Forward	2006–2008	49	11
Andreas Diebitz Category:Articles with hCards	East Germany	Defender	1986–1990	61	1
Pavel Dobry Category:Articles with hCards	Czech Republic	Forward	2007–2010	96	23
Hans-Jürgen Dörner Category:Articles with hCards	East Germany	Midfielder	1969–1986	392	65
Matthias Döschner Category:Articles with hCards	East Germany	Midfielder	1978–1990	253	32
Steffen Engelmohr Category:Articles with hCards	East Germany	Defender	1963–1968	63	12
Klaus Engels Category:Articles with hCards	East Germany	Forward	1965–1968	61	17
Daniel Ernemann Category:Articles with hCards	Germany	Defender	2006–2008	62	3
Kurt Fischer Category:Articles with hCards	East Germany	Midfielder	1950–1954	126	3
Cristian Fiél Category:Articles with hCards	Spain	Midfielder	2010–	43	1
Christian Fröhlich Category:Articles with hCards	Germany	Midfielder	1995–1996 2003–2005	91	19
Frank Ganzera Category:Articles with hCards	East Germany	Defender	1966–1976	133	8
Eduard Geyer Category:Articles with hCards	East Germany	Defender	1969–1975	90	6
Matthias Großmann Category:Articles with hCards	Germany	Midfielder	1997–2001	89	7
René Groth Category:Articles with hCards	Germany	Defender	1992–1995 1997–2000	54	0
Siegfried Gumz Category:Articles with hCards	East Germany	Forward	1962–1969	120	33
Torsten Gütschow Category:Articles with hCards	East Germany	Forward	1980–1992 1996–1999	329	149
Reinhard Häfner Category:Articles with hCards	East Germany	Midfielder	1971–1988	366	49
Sebastian Hähnge Category:Articles with hCards	Germany	Forward	2000–2003	66	16
Rico Hanke Category:Articles with hCards	Germany	Forward	1995–2000	112	22
Gerhard Hänsicke Category:Articles with hCards	East Germany	Forward	1951–1954	71	39
Erhard Haufe Category:Articles with hCards	East Germany	Defender	1951–1954	73	0
Ralf Hauptmann Category:Articles with hCards	East Germany	Midfielder	1987–1993	127	5
Christian Hauser Category:Articles with hCards	Germany	Midfielder	2004–2008	73	1
Wolfgang Haustein Category:Articles with hCards	East Germany	Defender	1962–1973	181	1
Gert Heidler Category:Articles with hCards	East Germany	Midfielder	1968–1982	267	49
Steffen Heidrich Category:Articles with hCards	East Germany	Midfielder	2001–2005	93	23
Lars Heller Category:Articles with hCards	Germany	Defender	2001–2004	83	0
Christian Helm Category:Articles with hCards	East Germany	Defender	1972–1982	188	3
Meinhard Hemp Category:Articles with hCards	East Germany	Midfielder	1963–1972	102	6
Oliver Herber Category:Articles with hCards	Germany	Goalkeeper	2003–2008	51	0
Bernd Hofmann Category:Articles with hCards	East Germany	Midfielder	1962–1967	115	17
Karl-Heinz Holze Category:Articles with hCards	East Germany	Forward	1950–1954	86	29
Thomas Hoßmang Category:Articles with hCards	Germany	Defender	1994–1996	47	2
Thomas Hübener Category:Articles with hCards	Germany	Defender	2007–2011	120	2
Uwe Jähnig Category:Articles with hCards	Germany	Midfielder	1987–1995	129	16
Bernd Jakubowski Category:Articles with hCards	East Germany	Goalkeeper	1977–1986	183	0
Antoni Jelen Category:Articles with hCards	Poland	Midfielder	1995–2000	110	2
Ranisav Jovanović Category:Articles with hCards	Yugoslavia	Forward	2002–2004	70	17
Lars Jungnickel Category:Articles with hCards	Germany	Midfielder	1999–2001 2007–	151	17
Florian Jungwirth Category:Articles with hCards	Germany	Defender	2010–	59	0
Frank Kaiser Category:Articles with hCards	Germany	Midfielder	1996–2000	86	5
Manfred Kallenbach Category:Articles with hCards	East Germany	Goalkeeper	1966–1972	105	0
Maik Kegel Category:Articles with hCards	Germany	Midfielder	2007–2012	89	8
Axel Keller Category:Articles with hCards	Germany	Goalkeeper	2008–2011	96	0
Joshua Kennedy Category:Articles with hCards	Australia	Forward	2004–2006	62	16
Mario Kern Category:Articles with hCards	Germany	Defender	1988–1995 1996	84	4
Ulf Kirsten Category:Articles with hCards	East Germany	Forward	1983–1990	154	57
