Rd	Race	Pole Position	Fastest Lap	Winning driver	Winning team	Report
2	Monterey Festival of Speed	James Hinchcliffe	Douglas Soares	James Hinchcliffe	Forsythe Pettit Racing	Report
3	Sommet des Legends	Junior Strous	Junior Strous	Junior Strous	Condor Motorsports	Report
4	Rexall Grand Prix of Edmonton - Race 1	James Hinchcliffe	David Garza Pérez	Jonathan Bomarito	Mathiasen Motorsports	Report
5	Rexall Grand Prix of Edmonton - Race 2	Carl Skerlong	Carl Skerlong	Jonathan Summerton	Newman Wachs Racing	Report
6	Road Race Showcase/Road America - Race 1	Dane Cameron	Tõnis Kasemets	Jonathan Bomarito	Mathiasen Motorsports	Report
7	Road Race Showcase/Road America - Race 2	Jonathan Bomarito	Dane Cameron	Jonathan Summerton	Newman Wachs Racing	Report
8	Grand Prix de Trois-Rivières	Jonathan Bomarito	Jonathan Summerton	Jonathan Bomarito	Mathiasen Motorsports	Report
9	Mazda Formula Zoom Zoom	Carl Skerlong	Carl Skerlong	Carl Skerlong	Pacific Coast Motorsports	Report
10	SunRichGourmet.com 1000	Markus Niemelä	Carl Skerlong	Markus Niemelä	Brooks Associates Racing	Report
