Series Ep.	Episode	Netflix	Segment A	Segment B	Segment C	Segment D
1-01	1	S01E01	Aluminum Foil	Snowboards	Contact Lenses	Bread
1-02	2	S01E02	s Compact Disc	Mozzarella Cheese	Pantyhose	Fluorescent Tubes
1-03	3	S01E03	s Toothpick	Acrylic s Bathtub	Helicopters	Beer
1-04	4	S01E04	Hearing Aids	3D Puzzles	Rubber s Mat	s Toilet
1-05	5	S01E05	Copy Paper	Jeans	s Computer	Plate Glass
1-06	6	S01E06	Nails and s Staple	Safety Glasses	s Fabric	s Bicycle
1-07	7	S01E07	s Kayak	s Safety Boot	Electronic Signs	s Cereal
1-08	8	S01E08	s Truck	Adhesive Bandages	Computer s Circuit Board	s Liquor
1-09	9	S01E09	Steel	Apple Juice	Aircraft Landing Gear	Cosmetics
1-10	10	S01E10	s Hologram	Package printing	Skin Culture	ned Can Corn
1-11	11	S01E11	Plastic Bags	s Solar Panel	Plastic Gasoline Containers	Hockey Sticks
1-12	12	S01E12	s Aluminum Screw Cap	Chocolate	Pills	Pasta
