Version	Standard name	Common name	Downstream rate	Upstream rate
ADSL	ANSI T1.413-1998 Issue 2	ADSL	08.0 8.0 Mbit/s	1.0 Mbit/s
ADSL	ITU G.992.1	ADSL ( G.DMT )	8.0 Mbit/s	1.3 Mbit/s
ADSL	ITU G.992.1 Annex A	ADSL over POTS	12.0 Mbit/s	1.3 Mbit/s
ADSL	ITU G.992.1 Annex B	ADSL over ISDN	12.0 Mbit/s	1.8 Mbit/s
ADSL	ITU G.992.2	ADSL Lite ( G.Lite )	01.5 1.5 Mbit/s	0.5 Mbit/s
ADSL2	ITU G.992.3	ADSL2	12.0 Mbit/s	1.3 Mbit/s
ADSL2	ITU G.992.3 Annex J	ADSL2	12.0 Mbit/s	3.5 Mbit/s
ADSL2	ITU G.992.3 Annex L	RE-ADSL2	05.0 5.0 Mbit/s	0.8 Mbit/s
ADSL2	ITU G.992.4	splitterless ADSL2	01.5 1.5 Mbit/s	0.5 Mbit/s
ADSL2+	ITU G.992.5	ADSL2+	20.0 Mbit/s	1.1 Mbit/s
ADSL2+	ITU G.992.5 Annex M	ADSL2+M	24.0 Mbit/s	3.3 Mbit/s
ADSL2++	(up to 3.75MHz)	ADSL4	52.0 Mbit/s ?	5.0 Mbit/s ?
