Conference	# of Bids	Record	Win %	Round of 32	Sweet Sixteen	Elite Eight	Final Four	Championship Game
Southeastern	7	19–6	.760	5	5	4	2	2
Big Ten	6	7–6	.538	5	2	–	–	–
Atlantic Coast	4	6–4	.600	4	1	1	–	–
Big Eight	4	4–4	.500	3	1	–	–	–
Southwest	4	3–4	.429	2	1	–	–	–
Conference USA	4	2–4	.333	2	–	–	–	–
Pacific-10	3	4–3	.571	1	1	1	1	–
Atlantic 10	3	1–3	.250	1	–	–	–	–
Big East	2	5–2	.714	2	1	1	1	–
Colonial	2	2–2	.500	1	1	–	–	–
Mid-American	2	2–2	.500	2	–	–	–	–
West Coast	2	2–2	.500	1	1	–	–	–
Western Athletic	2	1–2	.333	1	–	–	–	–
Ohio Valley	2	0–2	–	–	–	–	–	–
Sun Belt	1	3–1	.750	1	1	1	–	–
Southland	1	2–1	.667	1	1	–	–	–
