Season	Division	League Apps	League Goals	FA Cup Apps	FA Cup Goals	Other Apps	Other Goals	Total Apps	Total Goals
1891–92	Northern League	0	0	3	1	13	3	16	4
1892–93	Division 2	20	5	2	2	11	1	33	8
1893–94	Division 1	28	3	1	0	6	0	35	3
1894–95	Division 1	26	0	3	0	3	0	32	0
1895–96	Division 1	24	3	3	2	4	0	31	5
1896–97	Division 1	29	6	0	0	0	0	29	6
1897–98	Division 1	29	8	2	1	0	0	31	9
1898–99	Division 1	29	6	9	2	1	0	39	8
1899–1900	Division 1	25	0	5	2	2	0	32	2
1900–01	Division 1	23	3	7	0	0	0	30	3
1901–02	Division 1	26	1	8	1	0	0	34	2
1902–03	Division 1	26	1	1	1	0	0	27	2
1903–04	Division 1	26	1	1	0	0	0	27	1
1904–05	Division 1	33	2	1	0	0	0	34	2
1905–06	Division 1	27	2	0	0	0	0	27	2
1906–07	Division 1	33	4	1	0	0	0	34	4
1907–08	Division 1	32	3	2	0	0	0	34	3
1908–09	Division 1	24	0	0	0	0	0	24	0
1909–10	Division 1	4	1	0	0	0	0	4	1
