Settlement	Cyrillic Name Other Names	Type	Population (2011)	Largest ethnic group (2002)	Dominant religion (2002)
Zrenjanin	Зрењанин	city	76511	Serbs	Orthodox Christianity
Aradac	Арадац	village	3335	Serbs	Orthodox Christianity
Banatski Despotovac	Банатски Деспотовац	village	1291	Serbs	Orthodox Christianity
Belo Blato	Бело Блато (Slovak: Biele Blato)	village	1342	Slovaks	Catholic Christianity
Botoš	Ботош	village	1860	Serbs	Orthodox Christianity
Čenta	Чента	village	3050	Serbs	Orthodox Christianity
Ečka	Ечка	village	3999	Serbs	Orthodox Christianity
Elemir	Елемир	village	4338	Serbs	Orthodox Christianity
Farkaždin	Фаркаждин	village	1179	Serbs	Orthodox Christianity
Jankov Most	Јанков Мост (Romanian: Iancăid)	village	530	Romanians	Orthodox Christianity
Klek	Клек	village	2706	Serbs	Orthodox Christianity
Knićanin	Книћанин	village	1753	Serbs	Orthodox Christianity
Lazarevo	Лазарево	village	2877	Serbs	Orthodox Christianity
Lukićevo	Лукићево	village	1804	Serbs	Orthodox Christianity
Lukino Selo	Лукино Село (Hungarian: Lukácsfalva)	village	498	Hungarians	Catholic Christianity
Melenci	Меленци	village	5982	Serbs	Orthodox Christianity
Mihajlovo	Михајлово (Hungarian: Magyarszentmihály)	village	948	Hungarians	Catholic Christianity
Orlovat	Орловат	village	1516	Serbs	Orthodox Christianity
Perlez	Перлез	village	3383	Serbs	Orthodox Christianity
Stajićevo	Стајићево	village	1941	Serbs	Orthodox Christianity
Taraš	Тараш	village	1009	Serbs	Orthodox Christianity
