Place	Player	Country	Score	To par
1	Hale Irwin	United States	68-68=136	–4
2	Fuzzy Zoeller	United States	71-66=137	–-3
T3	David Canipe	United States	69-69=138	–2
T3	Greg Norman	Australia	70-68=138	–2
T5	Curtis Strange	United States	70-69=139	–1
T5	Jim Thorpe	United States	68-71=139	–1
7	Fred Couples	United States	69-71=140	E
T8	Andy Bean	United States	70-71=141	+1
T8	Jay Sigel (a)	United States	69-72=141	+1
T10	Isao Aoki	Japan	72-70=142	+2
T10	Seve Ballesteros	Spain	69-73=142	+2
T10	Johnny Miller	United States	74-68=142	+2
T10	Jack Nicklaus	United States	71-71=142	+2
T10	Mike Reid	United States	70-72=142	+2
