Outcome	Date	Championship	Surface	Opponent in the final	Score in the final
Winner	1982	Stockholm , Sweden	Hard (i)	Mats Wilander	7–6(4), 6–3
Runner-up	1983	Kitzbühel , Austria	Clay	Guillermo Vilas	6–7, 6–4, 4–6
Runner-up	1983	Sydney Indoor , Australia	Hard (i)	John McEnroe	1–6, 4–6, 5–7
Runner-up	1984	Memphis , U.S.	Carpet	Jimmy Connors	3–6, 6–4, 5–7
Winner	1984	Stuttgart Outdoor , Germany	Clay	Gene Mayer	7–6(9), 6–0, 1–6, 6–1
Winner	1985	Nice , France	Clay	Víctor Pecci	6–4, 6–4
Runner-up	1985	Sydney Indoor, Australia	Hard (i)	Ivan Lendl	4–6, 4–6, 6–7(6)
Winner	1985	Sydney Outdoor , Australia	Grass	Kelly Evernden	6–7(6), 6–2, 6–3
Runner-up	1986	Bristol , United Kingdom	Grass	Vijay Amritraj	6–7(6), 6–1, 6–8
Winner	1986	Geneva , Switzerland	Clay	Thierry Tulasne	7–5, 6–3
Winner	1986	Hamburg , Germany	Clay	Miloslav Mečíř	6–2, 5–7, 6–4, 6–2
Winner	1988	Nice , France	Clay	Jérôme Potier	6–2, 6–2
Runner-up	1988	Hamburg , Germany	Clay	Kent Carlsson	2–6, 1–6, 4–6
Runner-up	1988	French Open , Paris	Clay	Mats Wilander	5–7, 2–6, 1–6
Winner	1988	Brussels , Belgium	Carpet	Jakob Hlasek	7–6(3), 7–6(6), 6–4
Winner	1993	Halle , Germany	Grass	Andriy Medvedev	6–2, 6–3
