Name	Degree	Degree Year	Award Year	Award
George Akerlof	Ph.D.	1966	2001	Economics
Sid Altman	S.B.	1960	1989	Chemistry
Kofi Annan	S.M.	1972	2001	Peace
Robert Aumann	S.M.	1952	2005	Economics
Elias James Corey	S.B., Ph.D.	1948, 1951	1990	Chemistry
Eric Cornell	Ph.D.	1990	2001	Physics
Peter Diamond	Ph.D.	1963	2010	Economics
Richard Feynman	S.B.	1939	1965	Physics
Andrew Z. Fire	Ph.D.	1983	2006	Medicine/Physiology
Murray Gell-Mann	Ph.D.	1951	1969	Physics
Leland H. Hartwell	Ph.D.	1964	2001	Medicine/Physiology
H. Robert Horvitz	S.B.	1968	2002	Medicine/Physiology
Henry W. Kendall	S.B., Ph.D.	1948, 1951	1990	Physics
Lawrence Klein	Ph.D.	1944	1980	Economics
Paul Krugman	Ph.D.	1977	2009	Economics
Robert B. Laughlin	Ph.D.	1979	1998	Physics
Robert C. Merton	Ph.D.	1970	1997	Economics
Robert S. Mulliken	S.B.	1917	1966	Chemistry
Robert Mundell	Ph.D.	1956	1999	Economics
Charles Pedersen	S.M.	1927	1987	Chemistry
William D. Phillips	Ph.D.	1976	1997	Physics
Burton Richter	S.B., Ph.D.	1952, 1956	1976	Physics
Adam Riess	S.B.	1992	2011	Physics
John Robert Schrieffer	S.B.	1953	1972	Physics
William Shockley	Ph.D.	1936	1956	Physics
George F. Smoot	S.B., Ph.D.	1966, 1970	2006	Physics
Joseph Stiglitz	Ph.D.	1966	2001	Economics
Carl E. Wieman	S.B.	1973	2001	Physics
Robert Burns Woodward	S.B.	1936	1965	Chemistry
