Settlement	Cyrillic Name Other Names	Type	Population (2011)	Largest ethnic group (2002)	Dominant religion (2002)
Sombor	Сомбор	city	47623	Serbs	Orthodox Christianity
Aleksa Šantić	Алекса Шантић	village	1770	Serbs	Orthodox Christianity
Bački Breg	Бачки Брег (Croatian: Bereg)	village	1140	Croats	Catholic Christianity
Bački Monoštor	Бачки Моноштор (Croatian: Monoštor)	village	3485	Croats	Catholic Christianity
Bezdan	Бездан (Hungarian: Bezdán)	village	4623	Hungarians	Catholic Christianity
Čonoplja	Чонопља	village	3426	Serbs	Orthodox Christianity
Doroslovo	Дорослово (Hungarian: Doroszló)	village	1497	Hungarians	Catholic Christianity
Gakovo	Гаково	village	1810	Serbs	Orthodox Christianity
Kljajićevo	Кљајићево	village	5045	Serbs	Orthodox Christianity
Kolut	Колут	village	1327	Serbs	Orthodox Christianity
Rastina	Растина	village	411	Serbs	Orthodox Christianity
Riđica	Риђица	village	2011	Serbs	Orthodox Christianity
Stanišić	Станишић	village	3987	Serbs	Orthodox Christianity
Stapar	Стапар	village	3282	Serbs	Orthodox Christianity
Svetozar Miletić	Светозар Милетић (Hungarian: Nemesmilitics)	village	2746	Hungarians	Catholic Christianity
