Player	Nationality	Position	From	School/Country
Lloyd Daniels Category:Articles with hCards	United States	Guard/Forward	1994	Mt. San Antonio College
Adrian Dantley Category:Articles with hCards *	United States	Guard/Forward	1977	Notre Dame
Brad Davis Category:Articles with hCards	United States	Guard	1977	Maryland
Walter Devlin Category:Articles with hCards	United States	Guard	1957	George Washington University
Ernie DiGregorio Category:Articles with hCards	United States	Guard	1977	Providence
Vlade Divac Category:Articles with hCards	Serbia	Center	1989 2004	SFR Yugoslavia , now Serbia
Larry Drew Category:Articles with hCards	United States	Guard	1989	Missouri
Chris Duhon Category:Articles with hCards	United States	Guard	2012	Seton Hall
Walter Dukes Category:Articles with hCards	United States	Center	1956	Seton Hall
Jack Dwan Category:Articles with hCards	United States	Guard/Forward	1948	Loyola University Chicago
