Pick #	Player	Position	Nationality	NHL team	College/junior/club team
57	Ray Belanger	Goaltender	Canada	California Golden Seals	Shawinigan Dynamos (QMJHL)
58	Earl Anderson	Right Wing	United States	Detroit Red Wings	University of North Dakota (WCHA)
59	Mike McNiven	Left Wing	Canada	Vancouver Canucks	Halifax Jr. Canadians (NSJHL)
60	Dave Murphy	Goaltender	Canada	Pittsburgh Penguins	University of North Dakota (WCHA)
61	Steve Warr	Defence	Canada	Buffalo Sabres	Clarkson University (ECAC)
62	Gary Crosby	Centre	Canada	Los Angeles Kings	Michigan Technological University (WCHA)
63	Brian McBratney	Defence	Canada	Minnesota North Stars	St Catharines Black Hawks (OHA)
64	Don McCullouch	Defence	Canada	Philadelphia Flyers	Niagara Falls Flyers (OHA)
65	Bob Sykes	Left Wing	Canada	Toronto Maple Leafs	Sudbury Wolves (NOHA)
66	Wayne Gibbs	Defence	Canada	St. Louis Blues	Calgary Centennials (WCHL)
67	Mike Busniuk	Defence	Canada	Montreal Canadiens	University of Denver (WCHA)
68	Dean Blais	Left Wing	United States	Chicago Black Hawks	University of Minnesota (WCHA)
69	Fraser Robertson	Defence	Canada	New York Rangers	Lethbridge Sugar Kings (AJHL)
70	Bert Scott	Centre	Canada	Boston Bruins	Edmonton Oil Kings (WCHL)
