School Year	Class A	Class AA	Class AAA	Class AAAA	Class AAAAA
1990-91	Menard	Coleman	La Grange	Burkburnett	Round Rock
1991-92	Lindsay	Woodsboro	Dalhart	Highland Park	Brownsville Pace
1992-93	Menard	Wimberley	Elgin	Jacksonville	Round Rock
1993-94	Lindsay	S&S Consolidated	White Oak	McKinney	Bryan
1994-95	(tie) Apple Springs/Lindsay	S&S Consolidated	(tie) Wimberley/La Grange	Friendswood	Fort Worth Dunbar
1995-96	Lindsay	S&S Consolidated	Teague	Friendswood	Laredo Alexander
1996-97	(tie) Apple Springs/Texline	S&S Consolidated	Teague	Friendswood	Edinburg North
1997-98	Rotan	S&S Consolidated	Teague	Friendswood	Sugar Land Elkins
1998-99	Menard	S&S Consolidated	Atlanta	Fort Worth Dunbar	Round Rock
1999-2000	Crosbyton	S&S Consolidated	Teague	Corpus Christi Flour Bluff	College Station A&M Consolidated
2000-01	Lindsay	S&S Consolidated	Abilene Wylie	Corpus Christi Flour Bluff	Edinburg Economedes
2001-02	Lindsay	S&S Consolidated	Atlanta	Sulphur Springs	College Station A&M Consolidated
2002-03	Lindsay	S&S Consolidated	Jourdanton	Corpus Christi Flour Bluff	College Station A&M Consolidated
2003-04	Martin's Mill	S&S Consolidated	Jourdanton	Medina Valley	Austin Westlake
2004-05	Apple Springs	S&S Consolidated	Abilene Wylie	Medina Valley	College Station A&M Consolidated
2005-06	Apple Springs	S&S Consolidated	Abilene Wylie	Stephenville	Round Rock
2006-07	Martin's Mill	S&S Consolidated	Abilene Wylie	Mont Belvieu Barbers Hill	Round Rock
2007-08	Apple Springs	S&S Consolidated	Abilene Wylie	Pflugerville Hendrickson	Clear Lake
2008-09	Apple Springs	Tuscola Jim Ned	Hidalgo	Aledo	Katy Taylor
2009-10	Latexo	S&S Consolidated	Hidalgo	Aledo	Katy Seven Lakes
2010-11	Latexo	Tuscola Jim Ned	Van	San Antonio Alamo Heights	Katy Seven Lakes
2011-12	Sabine Pass	Holliday	Van	Aledo	Katy Seven Lakes
