State	City	Population	Violent Crime	Murder and Non-Negligent Manslaughter	Forcible Rape	Robbery	Aggravated Assault	Property Crime	Burglary	Larceny-Theft	Motor Vehicle Theft
New Mexico	Albuquerque	553684	749.7	7.4	50.2	197.2	494.9	5,367.3	1,205.9	3,666.0	495.4
California	Anaheim	344526	371.2	4.4	23.8	127.7	215.4	2,922.9	465.9	2,039.0	418.0
Alaska	Anchorage	299143	828.7	5.0	101.3	163.1	559.3	3,524.4	387.1	2,859.5	277.8
Texas	Arlington	379295	503.3	4.5	35.6	140.3	323.0	3,983.4	934.1	2,798.9	250.5
Georgia	Atlanta	437041	1,379.0	19.0	25.9	520.8	813.4	6,533.5	1,416.8	3,938.3	1,178.4
Colorado	Aurora	336952	425.3	8.6	53.1	143.3	220.2	2,985.3	531.5	2,187.3	266.5
Texas	Austin	832901	408.8	3.7	25.1	117.4	262.6	5,219.3	869.7	4,071.7	277.9
California	Bakersfield	355696	542.3	9.6	16.0	196.0	320.8	4,991.3	1,404.0	2,682.1	905.3
Maryland	Baltimore	625474	1,405.2	34.9	50.4	576.4	743.6	4,660.3	1,242.3	2,781.4	636.6
Massachusetts	Boston	630648	835.0	9.0	39.5	302.9	483.6	2,909.5	527.2	2,124.8	257.5
New York	Buffalo	262434	1,288.7	18.3	52.6	528.9	688.9	5,126.6	1,515.0	3,189.8	421.8
North Carolina	Charlotte-Mecklenburg	808504	647.9	6.4	27.6	222.4	391.5	4,030.5	959.9	2,806.2	264.4
Illinois	Chicago	2708382	N/A	18.5	N/A	497.6	453.1	4,152.5	839.9	2,684.9	627.7
Ohio	Cincinnati	296204	974.7	15.5	63.5	582.4	313.3	6,135.3	1,851.1	3,912.8	371.4
Ohio	Cleveland	393781	1,383.8	21.3	92.2	825.8	444.4	6,173.2	2,473.5	2,744.7	955.1
Colorado	Colorado Springs	432287	455.3	4.2	82.8	121.0	247.3	4,140.5	842.3	2,881.4	416.9
Texas	Corpus Christi	312565	658.1	5.1	58.9	120.0	474.1	4,498.6	784.5	3,572.4	141.7
Texas	Dallas	1241549	675.0	12.4	39.1	329.7	293.7	4,373.6	1,296.0	2,508.8	568.8
Colorado	Denver	628545	615.9	6.2	59.8	185.3	364.5	3,713.8	816.0	2,313.9	583.9
Michigan	Detroit	707096	2,122.9	54.6	62.4	684.9	1,321.0	5,792.1	1,907.5	2,258.3	1,626.4
Texas	El Paso	675536	423.2	3.4	27.2	69.7	322.9	2,429.3	270.3	1,987.3	171.7
Indiana	Fort Wayne	256625	362.8	8.6	36.2	174.2	143.8	3,707.7	789.1	2,756.2	162.5
Texas	Fort Worth	770101	587.5	5.7	50.8	166.2	364.8	4,222.0	1,096.2	2,811.1	314.8
California	Fresno	506011	543.1	10.1	10.7	200.6	321.7	5,086.3	1,166.4	3,069.9	850.0
North Carolina	Greensboro	276134	563.1	7.6	25.4	201.4	328.8	4,368.9	1,211.4	2,952.6	205.0
Nevada	Henderson	263469	168.9	1.5	23.2	65.3	78.9	2,009.7	534.4	1,285.2	190.2
Texas	Houston	2177273	992.5	10.0	30.5	431.0	521.0	4,945.5	1,223.1	3,122.2	600.3
Indiana	Indianapolis	838650	1,185.5	11.6	52.0	410.4	711.5	5,592.1	1,761.6	3,282.1	548.4
Florida	Jacksonville	840660	617.3	11.1	40.6	163.1	402.5	4,124.6	907.9	3,021.8	195.0
New Jersey	Jersey City	251554	734.2	4.4	17.9	349.8	362.1	2,178.1	566.9	1,308.3	302.9
Missouri	Kansas City	464073	1,263.2	22.6	53.0	354.9	832.6	5,525.4	1,500.6	3,251.2	773.6
Nevada	Las Vegas Metropolitan Police Department	1479393	784.0	5.1	40.3	258.5	480.1	3,138.2	961.2	1,725.2	451.9
