Block A	Ryuji Hijikata	Shuji Kondo	El NOSAWA Mendoza	PEPE Michinoku	Katsuhiko Nakajima
Ryuji Hijikata	X	Kondo (9:28)	NOSAWA (10:40)	Hijikata (0:43)	Hijikata (12:22)
Shuji Kondo	Kondo (9:28)	X	Kondo (7:08)	PEPE (0:24)	Kondo (19:47)
El NOSAWA Mendoza	NOSAWA (10:40)	Kondo (7:08)	X	PEPE (7:45)	Nakajima (10:49)
PEPE Michinoku	Hijikata (0:43)	PEPE (0:24)	PEPE (7:45)	X	Nakajima (19:05)
Katsuhiko Nakajima	Hijikata (12:22)	Kondo (19:47)	Nakajima (10:49)	Nakajima (19:05)	X
Block B	AKIRA	Miguel Hayashi, Jr.	Chris Sabin	Dick Togo	"brother" YASSHI
AKIRA	X	AKIRA (19:24)	Sabin (12:33)	Draw (30:00)	YASSHI (16:44)
Miguel Hayashi, Jr.	AKIRA (19:24)	X	Hayashi (12:57)	Togo (18:35)	Hayashi (9:27)
Chris Sabin	Sabin (12:33)	Hayashi (12:57)	X	Sabin (14:43)	Sabin (8:28)
Dick Togo	Draw (30:00)	Togo (18:35)	Sabin (14:43)	X	Togo (8:28)
"brother" YASSHI	YASSHI (16:44)	Hayashi (9:27)	Sabin (8:28)	Togo (8:28)	X
