Date	Time	Opponent	Score	Loss	Record
August 1	10:10pm	@ Mariners	10 - 5	Washburn (5-10)	52-56
August 2	10:10pm	@ Mariners	3 - 1	Hernández (7-7)	53-56
August 3	4:10pm	@ Mariners	8 - 4	Cabrera (7-7)	53-57
August 4	10:05pm	@ Angels	6 - 5	Sherrill (3-5)	53-58
August 5	10:05pm	@ Angels	3 - 0	Garland (10-7)	54-58
August 6	3:35pm	@ Angels	9 - 4	Olson (8-6)	54-59
August 8	7:05pm	Rangers	9 - 1	Mendoza (3-5)	55-59
August 9	7:05pm	Rangers	9 - 0	Padilla (12-6)	56-59
August 10	1:35pm	Rangers	15 - 7	Bierd (0-2)	56-60
August 11	7:05pm	@ Indians	13 - 8	Cherry (0-1)	56-61
August 12	7:05pm	@ Indians	7 - 5	Johnson (2-4)	56-62
August 13	7:05pm	@ Indians	6 - 1	Reyes (3-2)	57-62
August 14	7:05pm	@ Indians	11 - 6	Pérez (2-3)	58-62
August 15	7:05pm	@ Tigers	11 - 2	Robertson (7-9)	59-62
August 16	7:05pm	@ Tigers	5 - 3	Sarfate (4-3)	59-63
August 17	1:05pm	@ Tigers	16 - 8	Fossum (2-1)	60-63
August 18	7:05pm	Red Sox	6 - 3	Guthrie (10-9)	60-64
August 19	7:05pm	Red Sox	7 - 2	Cabrera (8-8)	60-65
August 20	7:05pm	Red Sox	11 - 6	Buchholz (2-9)	61-65
August 22	7:05pm	Yankees	9 - 4	Walker (1-1)	61-66
August 23	7:05pm	Yankees	5 - 3	Guthrie (10-10)	61-67
August 24	1:35pm	Yankees	8 - 7	Walker (1-2)	61-68
August 25	6:05pm	White Sox	4 - 3 (14)	H. Ramírez (0-1)	62-68
August 25	7:05pm	White Sox	4 - 3	Waters (2-1)	62-69
August 26	7:05pm	White Sox	8 - 3	Burres (7-8)	62-70
August 27	7:05pm	White Sox	11 - 3	Danks (10-7)	63-70
August 29	7:10pm	@ Rays	14 - 3	Guthrie (10-11)	63-71
August 30	7:10pm	@ Rays	10 - 9	Cherry (0-2)	63-72
August 31	1:40pm	@ Rays	10 - 4	Burres (7-9)	63-73
