Position	Team	Played	Drawn	Lost	Goals For	Goals Against	Goal Difference	Points 1
1	Clitheroe	34	13	2	70	33	+37	51
2	Irlam Town	34	9	4	60	24	+36	51
3	Warrington Town	34	14	3	59	29	+30	48
4	Ashton United	34	7	10	56	55	+1	41
5	Droylsden	34	10	9	51	47	+4	40
6	Wren Rovers	34	9	10	53	41	+12	39
7	Great Harwood Town	34	4	13	49	44	+5	38
8	Chadderton	34	9	12	47	46	+1	35
9	Colne Dynamoes	34	14	11	45	40	+5	32
10	Atherton Laburnum Rovers	34	6	15	42	43	−1	32
11	Nantwich Town	34	5	16	50	47	+3	31
12	Ford Motors	34	8	15	44	45	−1	30
13	Skelmersdale United	34	8	15	39	56	−17	30
14	Rossendale United	34	9	15	51	53	−2	29
15	Salford	34	5	18	46	64	−18	27
16	Darwen	34	6	21	32	62	−30	20
17	Padiham	34	5	21	42	74	−32	19 2
18	Ellesmere Port & Neston	34	7	22	34	67	−33	15 2
