City	Country	IATA	ICAO	Airport
Bangalore	India	BLR	VOBL	Bengaluru International Airport ^
Chennai	India	MAA	VOMM	Chennai International Airport ^
Colombo	Sri Lanka	CMB	VCBI	Bandaranaike International Airport [Hub]
Colombo	Sri Lanka	RML	VCCC	Ratmalana Airport ‡
Dubai	United Arab Emirates	DXB	OMDB	Dubai International Airport [T]
Jaffna	Sri Lanka	JAF	VCCJ	Kankesanturai Airport
Malé	Maldives	MLE	VRMM	Ibrahim Nasir International Airport [T]
Rome	Italy	FCO	LIRF	Fiumicino Airport [T]
Singapore	Singapore	SIN	WSSS	Changi International Airport [T]
Thiruvanathapuram	India	TRV	VOTV	Trivandrum Airport ^
Tiruchirappalli	India	TRZ	VOTR	Tiruchirappalli Airport [T]
Trincomalee	Sri Lanka	TRR	VCCT	China Bay Airport
