Rank	Nation	Sport	Years	Games	Gold	Silver	Bronze	Total
1	United States	Swimming	2004–2012	Summer	18	2	2	22
2	Soviet Union	Gymnastics	1956–1964	Summer	9	5	4	18
3	Soviet Union	Gymnastics	1972–1980	Summer	7	5	3	15
4	Soviet Union	Gymnastics	1956–1964	Summer	7	4	2	13
5	Italy	Fencing	1936–1960	Summer	6	5	2	13
6	Japan	Gymnastics	1952–1964	Summer	5	4	4	13
7	Finland	Athletics	1920–1928	Summer	9	3	0	12
8	Germany	Canoeing	1980–2004	Summer	8	4	0	12
8	Norway	Cross-country skiing	1992–1998	Winter	8	4	0	12
10	Japan	Gymnastics	1968–1976	Summer	8	3	1	12
10	United States	Swimming	1992–2004	Summer	8	3	1	12
12	United States	Swimming	1984–2008	Summer	4	4	4	12
13	Russia	Gymnastics	1996–2000	Summer	4	2	6	12
14	United States	Swimming	2004–2012	Summer	3	4	5	12
15	United States	Swimming	1968–1972	Summer	9	1	1	11
16	United States	Swimming	1984–1992	Summer	8	2	1	11
17	Czechoslovakia	Gymnastics	1960–1968	Summer	7	4	0	11
18	Soviet Union	Gymnastics	1952–1956	Summer	7	3	1	11
19	Norway	Biathlon	1998–2010	Winter	6	4	1	11
20	United States	Shooting	1912–1924	Summer	5	4	2	11
21	United States	Swimming	2004–2012	Summer	5	3	3	11
22	United States	Athletics	1984–1996	Summer	9	1	0	10
23	Hungary	Fencing	1932–1960	Summer	7	1	2	10
24	Japan	Gymnastics	1968–1972	Summer	6	2	2	10
25	Belarus	Gymnastics	1992–1996	Summer	6	0	4	10
26	Hungary	Gymnastics	1952–1956	Summer	5	3	2	10
26	United States	Swimming	1996–2004	Summer	5	3	2	10
28	Soviet Union	Gymnastics	1956–1964	Summer	5	2	3	10
29	Soviet Union	Cross-country skiing	1976–1992	Winter	4	5	1	10
30	Soviet Union	Gymnastics	1976–1980	Summer	3	6	1	10
31	Italy	Cross-country skiing	1992–2002	Winter	2	3	5	10
32	Germany	Swimming	1992–2004	Summer	0	4	6	10
33	Belgium	Archery	1900–1920	Summer	6	3	0	9
33	Russia	Cross-country skiing	1992–1994	Winter	6	3	0	9
35	Italy	Fencing	1996–2012	Summer	6	1	2	9
36	Romania	Gymnastics	1976–1980	Summer	5	3	1	9
36	Australia	Swimming	2000–2004	Summer	5	3	1	9
38	Germany	Speed skating	1992–2006	Winter	5	2	2	9
39	Japan	Gymnastics	1968–1976	Summer	5	1	3	9
40	Russia	Swimming	1992–2000	Summer	4	5	0	9
41	Sweden	Cross-country skiing	1956–1964	Winter	4	3	2	9
41	Soviet Union	Gymnastics	1968–1976	Summer	4	3	2	9
43	Netherlands	Equestrian	1992–2012	Summer	3	5	1	9
43	Australia	Swimming	2000–2012	Summer	3	5	1	9
45	Italy	Fencing	1928–1936	Summer	3	4	2	9
46	Sweden	Shooting	1908–1924	Summer	3	3	3	9
47	Soviet Union	Gymnastics	1968–1972	Summer	2	6	1	9
48	Finland	Gymnastics	1928–1952	Summer	2	1	6	9
49	Soviet Union	Gymnastics	1956–1964	Summer	1	5	3	9
50	Jamaica	Athletics	1980–2000	Summer	0	3	6	9
51	United States	Athletics	1900–1908	Summer	8	0	0	8
52	Sweden	Canoeing	1948–1960	Summer	6	1	1	8
53	Germany	Equestrian	1964–1988	Summer	6	0	2	8
54	Finland	Athletics	1924–1928	Summer	5	3	0	8
54	Germany	Equestrian	1992–2008	Summer	5	3	0	8
56	Romania	Rowing	1984–2000	Summer	5	2	1	8
57	Sweden	Shooting	1908–1924	Summer	4	4	0	8
57	Australia	Swimming	1956–1964	Summer	4	4	0	8
57	East Germany	Swimming	1972–1976	Summer	4	4	0	8
60	Norway	Shooting	1920–1924	Summer	4	3	1	8
60	Switzerland	Gymnastics	1924–1936	Summer	4	3	1	8
60	Germany	Biathlon	1992–2006	Winter	4	3	1	8
63	East Germany	Swimming	1968–1976	Summer	4	2	2	8
63	Soviet Union	Cross-country skiing	1972–1980	Winter	4	2	2	8
63	Norway	Alpine skiing	1992–2006	Winter	4	2	2	8
63	Germany	Biathlon	1994–2006	Winter	4	2	2	8
63	Netherlands	Swimming	2000–2004	Summer	4	2	2	8
63	United States	Swimming	2000–2012	Summer	4	2	2	8
69	Italy	Fencing	1992–2008	Summer	4	1	3	8
70	Hungary	Canoeing	2000–2012	Summer	3	5	0	8
71	France	Fencing	1920–1928	Summer	3	4	1	8
71	France	Fencing	1920–1936	Summer	3	4	1	8
71	East Germany	Speed skating	1980–1988	Winter	3	4	1	8
71	Germany	Speed skating	1992–1998	Winter	3	4	1	8
71	Australia	Swimming	1996–2004	Summer	3	4	1	8
76	United States	Swimming	1972–1976	Summer	2	6	0	8
77	Australia	Swimming	1992–2000	Summer	2	4	2	8
