Outcome	Date	Tournament	Partner	Opponents in the final	Score in the final
Winner	1969	Monte Carlo , Monaco	John Newcombe	Pancho Gonzales Dennis Ralston	7–5, 11–13, 6–2, 6–1
Winner	1969	London/Queen's Club , England	Dennis Ralston	Thomaz Koch Ove Nils Bengtson	8–6, 6–3
Runner-up	1970	Rome , Italy	Bill Bowrey	Ilie Năstase Ion Ţiriac	6–0, 8–10, 3–6, 8–6, 1–6
Winner	1970	Hilversum , Netherlands	Bill Bowrey	John Alexander Phil Dent	6–3, 6–4, 6–2
Runner-up	1970	Stockholm , Sweden	Bob Carmichael	Arthur Ashe Stan Smith	0–6, 7–5, 5–7
Winner	1971	Bournemouth , England	Bill Bowrey	Patricio Cornejo Jaime Fillol	8–6, 6–2, 3–6, 4–6, 6–3
Winner	1972	Australian Open, Melbourne	Ken Rosewall	Ross Case Geoff Masters	3–6, 7–6, 6–3
Runner-up	1972	US Open , New York	John Newcombe	Cliff Drysdale Roger Taylor	4–6, 6–7, 4–6
Runner-up	1973	Montreal , Canada	John Newcombe	Rod Laver Ken Rosewall	5–7, 6–7
Winner	1973	US Open , New York	John Newcombe	Roy Emerson Rod Laver	7–5, 2–6, 7–5, 7–5
Winner	1973	Chicago, US	John Newcombe	Gerald Battrick Graham Stilwell	6–7, 7–6, 7–6
Runner-up	1973	Fort Worth , US	John Newcombe	Brian Gottfried Dick Stockton	6–7, 4–6
Winner	1973	London	Mark Cox	Gerald Battrick Graham Stilwell	6–4, 8–6
Runner-up	1974	Baltimore , US	Clark Graebner	Jürgen Fassbender Karl Meiler	6–7, 5–7
Winner	1974	St. Petersburg WCT , US	John Newcombe	Clark Graebner Charlie Pasarell	4–6, 6–3, 6–4
Runner-up	1974	New Orleans WCT , US	John Newcombe	Robert Lutz Stan Smith	6–4, 4–6, 6–7
Winner	1974	Orlando WCT , US	John Newcombe	Brian Gottfried Dick Stockton	7–6, 6–3
Runner-up	1974	Charlotte , US	John Newcombe	Buster Mottram Raúl Ramírez	3–6, 6–1, 3–6
Runner-up	1974	World Doubles WCT , Montreal	John Newcombe	Bob Hewitt Frew McMillan	2–6, 7–6, 1–6, 2–6
Runner-up	1974	Maui , US	John Newcombe	Dick Stockton Roscoe Tanner	3–6, 6–7
