Place	Player	Country	Score	To par
1	Phil Mickelson	United States	70-72-70=212	–4
T2	Chad Campbell	United States	71-67-75=213	–3
T2	Fred Couples	United States	71-70-72=213	–3
T4	Stephen Ames	Canada	74-70-70=214	–2
T4	Tim Clark	South Africa	70-72-72=214	–2
T4	Darren Clarke	Northern Ireland	72-70-72=214	–2
T4	Rocco Mediate	United States	68-73-73=214	–2
T4	Vijay Singh	Fiji	67-74-73=214	–2
T4	Tiger Woods	United States	72-71-71=214	–2
T10	Retief Goosen	South Africa	70-73-72=215	–1
T10	Miguel Ángel Jiménez	Spain	72-74-69=215	–1
