Date	Visitor	Score	Home	Leading scorer	Record
1 December 2007	Pistons	117–91	Bucks	Two-way tie (13)	7–8
4 December 2007	Bucks	87–78	Clippers	Michael Redd (25)	8–8
5 December 2007	Bucks	90–120	Warriors	Michael Redd (24)	8–9
7 December 2007	Bucks	98–104	SuperSonics	Michael Redd (41)	8–10
9 December 2007	Bucks	113–117	Trail Blazers	Maurice Williams (33)	8–11
10 December 2007	Bucks	93–96	Kings	Michael Redd (24)	8–12
12 December 2007	Magic	86–100	Bucks	Michael Redd (27)	9–12
14 December 2007	Bucks	82–104	Celtics	Maurice Williams (14)	9–13
15 December 2007	Timberwolves	92–95	Bucks	Michael Redd (32)	10–13
17 December 2007	Bucks	99–104	Cavaliers	Michael Redd (22)	10–14
19 December 2007	Kings	102–89	Bucks	Michael Redd (27)	10–15
22 December 2007	Bobcats	99–103	Bucks	Yi Jianlian (29)	11–15
26 December 2007	Bucks	105–125	Nuggets	Maurice Williams (28)	11–16
28 December 2007	Bucks	99–103	Bulls	Michael Redd (34)	11–17
29 December 2007	Nets	97–95	Bucks	Michael Redd (35)	11–18
31 December 2007	Bucks	69–114	Pistons	Michael Redd (18)	11–19
