Season	Series	Team Name	Races	Poles	Wins	Points	Position
2005	Formula BMW ADAC	Eifelland Racing	19	0	0	17	16th
2006	Formula BMW ADAC	Josef Kaufmann Racing	18	9	9	277	1st
2007	German Formula Three	Josef Kaufmann Racing	12	2	1	62	6th
2008	Formula 3 Euro Series	Mücke Motorsport	20	1	1	36	6th
2009	Formula 3 Euro Series	Mücke Motorsport	18	0	4	75	2nd
2009–10	GP2 Asia Series	DAMS	8	0	1	9	10th
2010	GP2 Series	Racing Engineering	18	0	1	29	9th
2011	GP2 Series	Racing Engineering	14	1	2	35	7th
2011	Deutsche Tourenwagen Masters	Persson Motorsport	10	0	0	4	14th
2012	Deutsche Tourenwagen Masters	HWA Team	10	0	0	25	12th
2013	Deutsche Tourenwagen Masters	HWA Team	7	1	0	71	2nd
