Round	Player	Nationality	NHL team	College/junior/club team (league)
1	Libor Polasek (C)	Czechoslovakia	Vancouver Canucks	Vitkovice SSK ( CSFR )
2	Mike Peca (C)	Canada	Vancouver Canucks (from Boston )	Ottawa 67's ( OHL )
2	Mike Fountain (G)	Canada	Vancouver Canucks	Oshawa Generals (OHL)
3	Jeff Connolly (C)	United States	Vancouver Canucks	St. Sebastien High School (U.S. High School)
4	Brent Tully (D)	Canada	Vancouver Canucks	Peterborough Petes (OHL)
5	Brian Loney (RW)	Canada	Vancouver Canucks (from St. Louis )	Ohio State University ( NCAA )
5	Adrian Aucoin (D)	Canada	Vancouver Canucks	Boston University (NCAA)
6	Jason Clark (C/LW)	Canada	Vancouver Canucks	St. Thomas Jr. B (?)
7	Scott Hollis (RW)	Canada	Vancouver Canucks	Oshawa Generals (OHL)
9	Sonny Mignacca (G)	Canada	Vancouver Canucks	Medicine Hat Tigers ( WHL )
10	Mark Wotton (D)	Canada	Vancouver Canucks	Saskatoon Blades (WHL)
11	Aaron Boh (D)	Canada	Vancouver Canucks	Spokane Chiefs (WHL)
