YEAR	DATE	CHAMPION	BEAT	TIME	COURSE
1831	Sep 9th	Charles Campbell	John Williams	NTT	Thames (Westminster to Hammersmith)
1838	Nov 1st	Charles Campbell	Robert Coombes	42mins	Thames (Westminster to Putney)
1846	Aug 19th	Robert Coombes	Charles Campbell	26mins 15secs	Thames (Putney to Mortlake)
1847	Sep 19th	Robert Coombes	Robert Newell	23 mins 46 sec	Thames (Putney to Mortlake)
1851	May 7	Robert Coombes	Thomas J MacKinney	27 mins 30 secs	Thames (Putney to Mortlake)
1852	May 24	Tom Cole	Robert Coombes	25 mins 15 secs	Thames (Putney to Mortlake)
1852	Oct 14th	Tom Cole	Robert Coombes	23 mins 35 secs	Thames (Putney to Mortlake)
1854	Nov 20th	James Messenger	Tom Cole	24 mins 45 secs	Thames (Putney to Mortlake)
1857	May 12	Harry Kelley (GBR)	James Messenger	24 mins 30 secs	Thames (Putney to Mortlake)
1859	Sep 20th	Robert Chambers (GBR)	Harry Kelley (GBR)	25 mins 25 sec	Thames (Putney to Mortlake)
1860	Sep 18th	Robert Chambers (GBR)	Tom White (GBR)	23 mins 25 sec	Thames (Putney to Mortlake)
1863	Apr 14th	Robert Chambers (GBR)	George W Everson (GBR)	25 mins 27 sec	Thames (Putney to Mortlake)
1863	Jun 16th	Robert Chambers (GBR)	Richard A W Green (AUS)	25 mins 35 secs	Thames (Putney to Mortlake)
1865	Aug 8th	Harry Kelley (GBR)	Robert Chambers (GBR)	23 mins 23 secs	Thames (Putney to Mortlake)
1866	Jul 4th	Harry Kelley (GBR)	James Hammill (USA)	32 mins 45 secs	Tyne
1866	Nov 22nd	Robert Chambers (GBR)	Joseph Sadler (GBR)	25 mins 4 secs	Thames (Putney to Mortlake)
1868	May 6	Harry Kelley (GBR)	Robert Chambers (GBR)	31mins 47 secs	Tyne
1868	Nov 17th	James Renforth (GBR)	Harry Kelley (GBR)	23 mins 15secs	Thames (Putney to Mortlake)
