Game	Date	Opponent	Score	High points	High rebounds	High assists	Location	Record
4	June 4	San Antonio	W 80-69	Douglas , Dydek , McWilliams-Franklin (15)	Jones (7)	Douglas , Whalen (6)	Mohegan Sun Arena 6,252	3-1
5	June 7	Seattle	W 81-69	Douglas (20)	Dydek (14)	Whalen (8)	Mohegan Sun Arena 7,080	4-1
6	June 10	@ Houston	W 77-57	Sales (21)	Dydek (12)	Whalen (6)	Toyota Center 5,736	5-1
7	June 11	@ San Antonio	W 78-69	McWilliams-Franklin (17)	Douglas , McWilliams-Franklin (9)	Whalen (6)	AT&T Center 9,772	6-1
8	June 18	Detroit	W 73-63	Sales (17)	McWilliams-Franklin (10)	Whalen (6)	Mohegan Sun Arena 7,427	7-1
9	June 20	@ Los Angeles	W 90-70	Sales (26)	Dydek (10)	Douglas , Whalen (6)	STAPLES Center 7,246	8-1
10	June 22	@ Seattle	L 86-95	McWilliams-Franklin (21)	Dydek , McWilliams-Franklin , Whalen (5)	Whalen (6)	KeyArena 8,120	8-2
11	June 24	@ Sacramento	W 61-50	McWilliams-Franklin (15)	McWilliams-Franklin (14)	Whalen (3)	ARCO Arena 10,067	9-2
12	June 25	@ Phoenix	W 77-69	Sales (22)	Wyckoff (9)	Sales , Wyckoff (3)	US Airways Center 8,091	10-2
13	June 28	Sacramento	W 70-66	Sales (19)	McWilliams-Franklin (7)	Whalen (5)	Mohegan Sun Arena 6,789	11-2
