Generation	Years	Engine	Power	Torque	Induction
I	1971	455in³ Oldsmobile V8	hp (kW)	lb·ft (N·m)	2bbl carburetor
I	1971–1973	455in³ Oldsmobile V8	hp (kW)	lb·ft (N·m)	4bbl carburetor
I	1972	455in³ Oldsmobile V8	hp (kW)	lb·ft (N·m)	4bbl carburetor
I	1974	455in³ Oldsmobile V8	hp (kW)	lb·ft (N·m)	4bbl carburetor
I	1975	400in³ Pontiac V8	hp (kW)	lb·ft (N·m)	4bbl carburetor
I	1975–1976	455in³ Oldsmobile V8	hp (kW)	lb·ft (N·m)	4bbl carburetor
II	1977–1978	350in³ Oldsmobile V8	hp (kW)	lb·ft (N·m)	4bbl carburetor
II	1977–1978	403in³ Oldsmobile V8	hp (kW)	lb·ft (N·m)	4bbl carburetor
II	1978–1979	350in³ Oldsmobile Diesel V8	hp (kW)	lb·ft (N·m)	Indirect Injection
II	1979–1980	350in³ Oldsmobile V8	hp (kW)	lb·ft (N·m)	4bbl carburetor
II	1979	403in³ Oldsmobile V8	hp (kW)	lb·ft (N·m)	4bbl carburetor
II	1980	307in³ Oldsmobile V8	hp (kW)	lb·ft (N·m)	4bbl carburetor
II	1980–1985	350in³ Oldsmobile Diesel V8	hp (kW)	lb·ft (N·m)	Indirect Injection
II	1981–1984	307in³ Oldsmobile V8	hp (kW)	lb·ft (N·m)	4bbl carburetor
II	1985–1990	307in³ Oldsmobile V8	hp (kW)	lb·ft (N·m)	4bbl carburetor
III	1991–1992	5.0L/305in³ Chevrolet Small-Block V8	hp (kW)	lb·ft (N·m)	Throttle-body FI
III	1992	5.7L/350in³ Chevrolet Small-Block V8	hp (kW)	lb·ft (N·m)	Throttle-body FI
