Region	Country	Total Population (2011 est)	Hindu % of population	Hindu total
South Asia	Afghanistan	31,889,923	0.4%	127,560
Europe	Andorra	84,082	0.4%	336
Caribbean	Antigua	86,754	0.1%	87
South America	Argentina	40,301,927	0.01%	4,030
Oceania	Australia	20,434,176	1.28%	276,000
Central Europe	Austria	8,199,783	0.1% (approx)	8,200
Middle East	Bahrain	708,573	6.25%	44,286
South Asia	Bangladesh	150,448,339	9.2% – 12.4%	13,841,247 – 18,665,594
Western Europe	Belgium	10,392,226	0.06%	6,235
Central America	Belize	294,385	2.3%	6,771
South Asia	Bhutan	2,327,849	2% – 25%	46,557 – 581,962
Southern Africa	Botswana	1,815,508	0.17%	3,086
South America	Brazil	190,010,647	0.0016%	3,040
Southeast Asia	Brunei	374,577	0.035%	131
West Africa	Burkina Faso	14,326,203	0.001%	150
Central Africa	Burundi	8,390,505	0.1%	8,391
Southeast Asia	Cambodia	13,995,904	0.3%	41,988
North America	Canada	33,390,141	1%	333,901
South America	Colombia	44,379,598	0.02%	8,876
East Africa	Comoros	711,417	0.1%(approx)	711
Central Africa	Congo (Kinshasa)	65,751,512	0.18%	118,353
Balkans	Croatia	4,493,312	0.01% (approx)	449
North America	Cuba	11,394,043	0.21%	23,927
West Africa	Côte d'Ivoire	18,013,409	0.1%	18,013
Western Europe	Denmark	5,468,120	0.1%	5,468
East Africa	Djibouti	496,374	0.02%	99
Caribbean	Dominica	72,386	0.2%	145
East Africa	Eritrea	4,906,585	0.1% (approx)	4,907
Oceania	Fiji	918,675	30% – 33%	275,603 – 303,163
Western Europe	Finland	5,238,460	0.01%	524
Western Europe	France	63,718,187	0.1%	63,718
Middle East	Georgia	4,646,003	0.01% (approx)	465
Western Europe	Germany	82,400,996	0.119%	98,057
West Africa	Ghana	22,931,299	0.05% (approx)	11,466
Caribbean	Grenada	89,971	0.7%	630
South America	Guyana	769,095	28.3% – 33%	217,654 – 253,801
Central Europe	Hungary	9,956,108	0.02%	1,767
South Asia	India	1,241,451,960	80.2%	1,010,023,827
Southeast Asia	Indonesia	234,693,997	2%	4,693,880
Middle East	Iran	65,397,521	0.02% (approx)	13,079
Western Europe	Ireland	4,588,252	0.23%	10,688
Middle East	Israel	6,426,679	0.1% (approx)	6,427
Western Europe	Italy	60,418,000	0.2% (approx)	108,950
Caribbean	Jamaica	2,780,132	0.06%	1,668
East Asia	Japan	127,433,494	0.004% (approx)	5,097
East Africa	Kenya	36,913,721	1%	369,137
East Asia	Korea, South	49,044,790	0.015% (approx)	12,452
Middle East	Kuwait	2,505,559	12%	300,667
Eastern Europe	Latvia	2,259,810	0.006%	136
Middle East	Lebanon	3,925,502	0.1% (approx)	3,926
Southern Africa	Lesotho	2,125,262	0.1% (approx)	2,125
West Africa	Liberia	3,195,931	0.1% (approx)	3,196
North Africa	Libya	6,036,914	0.1%	6,037
Western Europe	Luxembourg	480,222	0.07% (approx)	336
Southern Africa	Madagascar	19,448,815	0.1%	19,449
Southern Africa	Malawi	13,603,181	0.02% – 0.2%	2,721 – 2,726
Southeast Asia	Malaysia	28,401,017	7%	1,630,000
South Asia	Maldives	369,031	0.01%	37
Southern Africa	Mauritius	1,250,882	48% – 50%	600,423 – 625,441
Eastern Europe	Moldova	4,328,816	0.01% (approx)	433
Southern Africa	Mozambique	20,905,585	0.05% – 0.2%	10,453 – 41,811
Southeast Asia	Myanmar	47,963,012	1.5%	893,000
South Asia	Nepal	28,901,790	80.6% – 81%	23,294,843 – 23,410,450
Western Europe	Netherlands	16,570,613	0.58% – 1.20%	96,110 – 200,000
Oceania	New Zealand	4,115,771	1%	41,158
Western Europe	Norway	4,627,926	0.5%	23,140
Middle East	Oman	3,204,897	3% – 5.7%	96,147 – 182,679
South Asia	Pakistan	164,741,924	1.5% – 3.3%	5,900,000 – 9,000,000
Central America	Panama	3,242,173	0.3%	9,726
Southeast Asia	Philippines	98,215,000	2% (approx)	2,000,000
Western Europe	Portugal	10,642,836	0.07%	7,396
Caribbean	Puerto Rico	3,944,259	0.09%	3,550
Middle East	Qatar	907,229	7.2%	65,320
East Africa	Réunion	827,000	6.7%	55,409
Eastern Europe	Russia	141,377,752	0.043%	60,792
Middle East	Saudi Arabia	27,601,038	0.6% – 1.1%	165,606 – 303,611
East Africa	Seychelles	81,895	2%	1,638
West Africa	Sierra Leone	6,144,562	0.04% – 0.1%	2,458 – 6,145
Southeast Asia	Singapore	4,553,009	5.1%	262,120
Central Europe	Slovakia	5,447,502	0.1% (approx)	5,448
Central Europe	Slovenia	2,009,245	0.025% (approx)	500
Southern Africa	South Africa	49,991,300	1.9%	959,000
South Asia	Sri Lanka	20,926,315	7.1% – 12.1%	1,485,768 – 3,138,947
South America	Suriname	470,784	20% – 27.4%	94,157 – 128,995
Southern Africa	Swaziland	1,133,066	0.15% – 0.2%	1,700 – 2,266
Western Europe	Sweden	9,031,088	0.078% – 0.12%	7,044 – 10,837
Western Europe	Switzerland	7,554,661	0.38%	28,708
