Year	Title	Production Company	Role	Notes
2013-2014	Por Siempre mi Amor	Televisa	Gabriela	Antagonist
2012-2013	Corona de lágrimas (2012 telenovela)	Televisa	Flor Escutia	Antagonist
2012	Por Ella Soy Eva	Televisa	Samantha	Guest star
2010-2011	Cuando me enamoro	Televisa	Marina Sepúlveda	Co-protagonist
2010	Niña de mi Corazón	Televisa	Tamara Diez	Antagonist
2008-2009	Alma de Hierro	Televisa	Patricia 'Paty' Jiménez de la Corcuera	Co-protagonist
2007	Destilando Amor	Televisa	Isadora Duarte	Antagonist
2006	Olvidarte Jamas	Venevisión International	Lucrecia Montero	Antagonist
2005	La Madrastra	Televisa	Ana Rosa Márquez	Antagonist
2003-2004	Luciana y Nicolás	América Televisión	Lorena	Antagonist
2003	Clase 406	Televisa	Ángela	Co-protagonist
2002-2003	Las Vías del Amor	Televisa	Sandra Irribaren	Co-protagonist
2001	Amigas y Rivales	Televisa	Margarita	Antagonist
1997-1998	Salud, dinero y amor	Televisa	Consuelo	Antagonist
1995-1996	El premio mayor	Televisa	Consuelo	Antagonist
