Week	Date	Opponent	Home/Away	Result
1	January 29	Philadelphia Soul	Away	L 52–34
2	February 3	Grand Rapids Rampage	Away	W 51–43
3	February 10	Georgia Force	Home	W 61–60
4	February 19	Orlando Predators	Home	L 67–64 (OT)
5	February 25	Austin Wranglers	Home	W 58–48
6	March 5	Kansas City Brigade	Away	W 69–59
7	March 12	Dallas Desperados	Home	L 64–35
8	March 18	New York Dragons	Home	W 60–44
9	March 26	Georgia Force	Away	L 61–51
10	April 1	Utah Blaze	Home	W 56–41
11	April 7	San Jose SaberCats	Home	L 52–43
12	April 15	Austin Wranglers	Away	L 60–59
13	April 22	Orlando Predators	Away	L 52–13
14	April 29	Kansas City Brigade	Home	W 58–42
15	May 6	Columbus Destroyers	Away	L 51–48
16	May 13	Nashville Kats	Away	L 66–50
