County	Obama#	Obama%	McCain#	McCain%
ANDERSON	11396	36.1%	19675	62.3%
BEDFORD	5027	32.4%	10217	65.9%
BENTON	2645	40.8%	3696	57.0%
BLEDSOE	1517	31.7%	3166	66.2%
BLOUNT	15253	29.5%	35571	68.9%
BRADLEY	9357	24.5%	28333	74.2%
CAMPBELL	3867	30.6%	8535	67.6%
CANNON	2011	36.9%	3322	60.9%
CARROLL	3980	34.2%	7455	64.0%
CARTER	5587	25.7%	15852	72.8%
CHEATHAM	5498	33.5%	10702	65.8%
CHESTER	1797	27.8%	4587	71.0%
CLAIBORNE	3078	29.5%	7175	68.9%
CLAY	1248	41.7%	1676	56.0%
COCKE	3340	26.7%	8945	71.7%
COFFEE	7132	34.4%	13250	63.7%
CROCKETT	1967	32.6%	3994	66.2%
CUMBERLAND	7889	30.7%	17436	67.8%
DAVIDSON	158423	59.7%	102915	38.8%
DECATUR	1566	32.9%	3101	65.1%
DEKALB	2832	40.2%	4085	57.8%
DICKSON	7506	38.5%	11677	59.8%
DYER	4411	30.5%	9859	68.2%
FAYETTE	6892	35.8%	12173	63.2%
FENTRESS	1831	27.2%	4789	71.1%
FRANKLIN	6613	37.9%	10539	60.5%
GIBSON	7406	34.8%	13516	63.6%
GILES	4614	39.5%	6902	59.0%
GRAINGER	2066	27.5%	5297	70.6%
GREENE	7110	28.8%	17151	69.5%
GRUNDY	1971	42.6%	2563	55.3%
HAMBLEN	6807	30.0%	15508	68.4%
HAMILTON	64246	43.4%	81702	55.2%
HANCOCK	604	27.0%	1588	70.9%
HARDEMAN	5919	52.7%	5225	46.5%
HARDIN	2794	27.8%	7077	70.5%
HAWKINS	5930	28.2%	14756	70.1%
HAYWOOD	4893	60.3%	3165	39.0%
HENDERSON	3021	27.9%	7669	70.8%
HENRY	5153	38.0%	8182	60.4%
HICKMAN	3563	41.9%	4784	56.4%
HOUSTON	1678	50.0%	1608	47.9%
HUMPHREYS	3600	47.5%	3818	50.4%
JACKSON	2224	49.4%	2185	48.5%
JEFFERSON	5178	47.9%	13092	70.6%
JOHNSON	1837	27.7%	4621	70.1%
KNOX	70215	37.7%	113015	60.7%
LAKE	1024	45.8%	1175	52.5%
LAUDERDALE	4322	46.3%	4933	52.8%
LAWRENCE	5161	32.2%	10566	66.0%
LEWIS	1804	37.3%	2951	61.0%
LINCOLN	3695	28.1%	9231	70.3%
LOUDON	6058	27.3%	15815	71.3%
MACON	2060	28.0%	5145	69.9%
MADISON	20209	46.1%	23290	53.1%
MARION	4506	39.4%	6746	59.0%
MARSHALL	4320	38.3%	6755	59.8%
MAURY	13058	38.7%	20288	60.1%
MEIGS	1372	32.4%	2797	66.0%
MONROE	5053	30.1%	11484	68.5%
MONTGOMERY	25716	45.5%	30175	53.3%
MOORE	881	29.8%	2010	68.1%
MORGAN	1969	28.9%	4717	69.1%
OBION	4308	32.2%	8873	66.3%
OVERTON	3419	42.3%	4497	55.6%
PERRY	1329	44.3%	1596	53.2%
PICKETT	854	32.0%	1786	66.9%
POLK	2124	32.7%	4267	65.6%
PUTNAM	9739	35.7%	17101	62.6%
RHEA	2907	26.2%	8042	72.4%
ROANE	7224	31.0%	15658	67.3%
ROBERTSON	9318	33.7%	17903	64.8%
RUTHERFORD	40460	39.7%	59892	58.8%
SCOTT	1720	25.4%	4931	72.7%
SEQUATCHIE	1717	31.7%	3610	66.4%
SEVIER	8604	25.3%	24922	73.4%
SHELBY	256297	63.4%	145458	36.0%
SMITH	2992	38.7%	4563	58.9%
STEWART	2470	44.9%	2956	53.7%
SULLIVAN	18354	28.7%	44808	70.0%
SUMNER	21487	31.9%	44949	66.7%
TIPTON	7931	31.5%	17165	67.8%
TROUSDALE	1475	45.5%	1688	52.1%
UNICOI	2107	29.2%	5011	69.4%
UNION	1829	28.6%	4467	69.8%
VAN BUREN	849	38.3%	1294	58.7%
WARREN	5515	38.5%	8562	59.5%
WASHINGTON	15941	32.5%	32341	66.0%
WAYNE	1355	24.5%	4076	73.7%
WEAKLEY	4596	33.6%	8855	64.7%
WHITE	3372	35.0%	6103	63.3%
WILLIAMSON	27886	29.7%	64858	69.1%
