Year	Chassis	Engine(s)	Tyres	Points
1962	Lotus 24	Climax V8	D	n/a
1962	Brabham BT3	Climax V8	D	6
1963	Brabham BT3 Brabham BT7	Climax V8	D	30
1963	Lotus 25 1	Climax V8	D	n/a
1964	Brabham BT7 Brabham BT11	Climax V8	D	30 2
1965	Brabham BT7 Brabham BT11	Climax V8	D G	27
1966	Brabham BT19 Brabham BT20 Brabham BT22	Repco V8	G	42
1966	Brabham BT19 Brabham BT20 Brabham BT22	Climax V8	G	1 2
1967	Brabham BT19 Brabham BT20 Brabham BT24	Repco V8	G	63
1968	Brabham BT24 Brabham BT26	Repco V8	G	10
1969	Brabham BT26	Ford V8	G	49
1970	Brabham BT33	Ford V8	G	35
1971	Brabham BT33 Brabham BT34	Ford V8	G	5
1972	Brabham BT33 Brabham BT34 Brabham BT37	Ford V8	G	7
1973	Brabham BT37 Brabham BT42	Ford V8	G	22
1974	Brabham BT42 Brabham BT44	Ford V8	G	35
1975	Brabham BT44B	Ford V8	G	54
1976	Brabham BT45	Alfa Romeo Flat-12	G	9
1977	Brabham BT45 Brabham BT45B	Alfa Romeo Flat-12	G	27
1978	Brabham BT45C Brabham BT46 Brabham BT46B	Alfa Romeo Flat-12	G	53
1979	Brabham BT46 Brabham BT48 Brabham BT49	Alfa Romeo Flat-12 Alfa Romeo V12	G	7
1979	Brabham BT46 Brabham BT48 Brabham BT49	Ford V8	G	0
1980	Brabham BT49 Brabham BT49B	Ford V8	M	55
1981	Brabham BT49B Brabham BT49C	Ford V8	M G	61
1982	Brabham BT50	BMW 4 in-line ( t/c )	G	22
1982	Brabham BT49D Brabham BT49C	Ford V8	G	19
1983	Brabham BT52 Brabham BT52B	BMW 4 in-line ( t/c )	M	72
1984	Brabham BT53	BMW 4 in-line ( t/c )	M	38
1985	Brabham BT54	BMW 4 in-line ( t/c )	P	26
1986	Brabham BT54 Brabham BT55	BMW 4 in-line ( t/c )	P	2
1987	Brabham BT56	BMW 4 in-line ( t/c )	G	10
1988	Brabham does not compete.	Brabham does not compete.	Brabham does not compete.	Brabham does not compete.
1989	Brabham BT58	Judd V8	P	8
1990	Brabham BT58 Brabham BT59	Judd V8	P	2
1991	Brabham BT59Y Brabham BT60Y	Yamaha V12	P	3
1992	Brabham BT60B	Judd V8	G	0
