Rank	Address	Height feet / m	Floors	Year
1	1200 Main Street	624 / 197	42	1988
2	1111 Main Street	591 / 180	38	1986
3	1330 Baltimore Street	481 / 145	36	1931
4	909 Walnut Street	470 / 143	32	1932
5	414 E. 12th Street	445 / 136	30	1937
6	1201 Walnut Street	427 / 130	30	1991
7	2345 McGee Street	425 / 129	40	1980
8	909 Main Street	421 / 128	30	1965
9	1100 Main Street	404 / 123	30	1977
10	324 E. 11th Street	379 / 116	28	1929
11	2345 Grand Avenue	352 / 107.3	28	1977
12	1100 Grand Avenue	352 / 107	26	1931
13	2555 Grand Avenue	351 / 107	26	2003
14	2510 Grand Avenue	342 / 104.5	32	1976
15 =	1301 Wyandotte Street	299 / 91	28	1968
16 =	1425 Oak Street	298 / 91	26	1976
17	925 Grand Avenue	299 / 91	21	1921
18 =	601 E. 12th Street	295 / 90	18	1966
19 =	415 E. 12th Street	295 / 90	22	1934
20	400 E. 9th Street	290 / 88	10	2000
21	106 W. 11th Street	288 / 88	20	1974
22	106 W. 11th Street	285 / 87	24	1923
23	298 W. 31st Street	280 / 85	20	1963
24	920 Main Street	272 / 83	20	1969
25 =	922 Walnut Street	258 / 79	20	1906
26 =	920 Main Street	258 / 79	20	1985
27	12 Wyandotte Street	253 / 77 (est.)	18	1986
28	1 Memorial Drive (at Main Street)	250 / 76	16	2008
29	106 W. 12th Street	243 / 73	20	1930
30	1125 Grand Boulevard	241 / 73	20	1963
31	1 H&R Block Way (Oak Street at E. 12th Street)	236 / 72	17	2006
32 & 33	4500 Main Street	236 / 72	20	1991 & 1994
34	Kansas City, Missouri 64106	231/ 70.7	17	1930
35	4445 Main Street	229 / 70	18	1986
36	4600 Madison Avenue	225 / 69	17	1986
37	128 W. 13th Street	217/ 66.29	14	1921
38	21 W. 10th Street	208.5/ 63.5	15	1914
39	213 East 11th Street	206/62.79	16	1930
40	928 Grand Boulevard	200/60.96	16	center> 1907
