No. in series	No. in season	Title	Directed by	Written by	Original air date	U.S. viewers (millions)
92	1	"Nameless, Faceless (Part III)"	Charles S. Carroll	Chris Mundy	September23,2009	15.85
93	2	"Haunted"	Jon Cassar	Erica Messer	September30,2009	14.24
94	3	"Reckoner"	Karen Gaviola	Jay Beattie & Dan Dworkin	October7,2009	14.05
95	4	"Hopeless"	Félix Alcalá	Chris Mundy	October14,2009	13.92
96	5	"Cradle to Grave"	Rob Spera	Breen Frazier	October21,2009	14.27
97	6	"The Eyes Have It"	Glenn Kershaw	Oanh Ly	November4,2009	12.55
98	7	"The Performer"	John Badham	Holly Harold	November11,2009	12.77
99	8	"Outfoxed (Part I)"	John Gallagher	Simon Mirren	November18,2009	13.70
100	9	"100 (Part II)"	Edward Allen Bernero	Bo Crese	November25,2009	13.61
101	10	"The Slave of Duty"	Charles Haid	Rick Dunkle	December9,2009	14.43
102	11	"Retaliation"	Félix Alcalá	Erica Messer	December16,2009	14.68
103	12	"The Uncanny Valley"	Anna J. Foerster	Breen Frazier	January13,2010	13.90
104	13	"Risky Business"	Rob Spera	Jim Clemente	January20,2010	14.91
105	14	"Parasite"	Charles S. Carroll	Oanh Ly	February3,2010	14.75
106	15	"Public Enemy"	Nelson McCormick	Jess Prenter Prosser	February10,2010	14.33
107	16	"Mosley Lane"	Matthew Gray Gubler	Erica Messer & Simon Mirren	March3,2010	13.00
108	17	"Solitary Man"	Rob Hardy	Kimberley Ann Harrison & Ryan Gibson	March10,2010	13.29
109	18	"The Fight"	Richard Shepard	Edward Allen Bernero & Chris Mundy	April7,2010	12.70
110	19	"A Rite of Passage"	John Gallagher	Victor De Jesus	April14,2010	12.44
111	20	"A Thousand Words"	Rosemary Rodriguez	Edward Allen Bernero	May5,2010	12.39
112	21	"Exit Wounds"	Charles S. Carroll	Rick Dunkle	May12,2010	13.07
113	22	"The Internet Is Forever"	Glenn Kershaw	Breen Frazier	May19,2010	13.25
