Year [e ] (Ceremony)	Film title used in nomination	Original title	Director	Main Language(s)	Result
1996 (69th)	A Chef in Love	შეყვარებული მზარეულის 1001 რეცეპტი	Nana Dzhordzhadze	French , Georgian	Nominee
1999 (72nd)	Here Comes the Dawn	აქ თენდება	Zaza Urushadze	Georgian	Not Nominated
2000 (73rd)	27 Missing Kisses	ზაფხული, ანუ 27 მოპარული კოცნა	Nana Dzhordzhadze	Georgian , Russian	Not Nominated
2001 (74th)	Migration of the Angel	ანგელოზის გადაფრენა	Nodar Managadze	Georgian	Not Nominated
2005 (78th)	Tbilisi, Tbilisi	თბილისი-თბილისი	Levan Zaqareishvili	Georgian	Not Nominated
2007 (80th)	Russian Triangle	რუსული სამკუთხედი	Aleko Tsabadze	Russian	Not Nominated
2008 (81st)	Mediator	მედიატორი	Dito Tsintsadze	English , German , Russian	Not Nominated
2009 (82nd)	The Other Bank	გაღმა ნაპირი	George Ovashvili	Georgian , Abkhaz , Russian	Not Nominated
2010 (83rd)	Street Days	ქუჩის დღეები	Levan Koguashvili	Georgian	Not Nominated
2011 (84th)	Chantrapas	შანტრაპა	Otar Iosseliani	French , Georgian	Not Nominated
2012 (85th)	Keep Smiling	გაიღიმეთ	Rusudan Chkonia	Georgian	Not Nominated
