Rank	Rider	Team	Speed	Time
1	Ryan Farquhar	Kawasaki	105.988mph	21’ 39.200
2	Ian Lougher	Yamaha R1 1000cc	104.547mph	21’ 57.108
3	Mark Buckley	Honda 1000cc	103.720mph	22’ 07.615
4	Mark Parrett	Honda 1000cc	103.073mph	22’ 15.948
5	Gary Carswell	Suzuki 1000cc	102.907mph	22’ 18.104
6	Paul Cranston	Honda 1000cc	102.766mph	22’ 19.937
7	Roy Richardson	Yamaha 599cc	102.745mph	22’ 20.206
8	Paul Dobbs	Suzuki 1000cc	102.627mph	22’ 21.448
9	Michael Dunlop	Suzuki 1000cc	101.946mph	22’ 30.712
10	Stephen Oates	Suzuki 600cc	101.256mph	22’ 30.712
