No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code
112	1	"Bitter Fruit"	Constantine Makris	Jeremy R. Littman & René Balcer	September 20, 1995	K0105
115	4	"Jeopardy"	Christopher Misiano	Jeremy R. Littman & René Balcer	November 1, 1995	K0107
116	5	"Hot Pursuit"	Lewis H. Gould	Ed Zuckerman & Morgan Gendel	November 8, 1995	K0110
117	6	"Paranoia"	Fred Gerber	Michael S. Chernuchin	November 15, 1995	K0104
118	7	"Humiliation"	Matthew Penn	Michael S. Chernuchin & Barry M. Schkolnick	November 22, 1995	K0111
119	8	"Angel"	Arthur W. Forney	Michael S. Chernuchin & Janis Diamond	November 29, 1995	K0114
121	10	"Remand"	Jace Alexander	Elaine Loeser & René Balcer	January 10, 1996	K0113
122	11	"Corpus Delicti"	Christopher Misiano	Ed Zuckerman & Barry M. Schkolnick	January 17, 1996	K0115
124	13	"Charm City"	Ed Sherin	Michael S. Chernuchin & Jorge Zamacona	February 2, 1996	K0116
126	15	"Encore"	Matthew Penn	Jeremy R. Littman & Ed Zuckerman	February 28, 1996	K0120
127	16	"Savior"	David Platt	Michael S. Chernuchin & Barry M. Schkolnick	March 13, 1996	K0121
128	17	"Deceit"	Vincent Misiano	Rene Balcer & Eddie Feldmann	March 27, 1996	K0118
130	19	"Slave"	Jace Alexander	Elaine Loeser & René Balcer	April 21, 1996	K0122
