Rank	Name	Headquarters	Revenue (Mil.€)	Profit (Mil.€)	Employees (World)
0 1.	Volkswagen AG	Wolfsburg	159.000	15.800	502.000
0 2.	E.ON SE	Düsseldorf	113.000	−1.900	79.000
0 3.	Daimler AG	Stuttgart	107.000	6.000	271.000
0 4.	Siemens AG	Berlin , München	74.000	6.300	360.000
0 5.	BASF SE	Ludwigshafen am Rhein	73.000	6.600	111.000
0 6.	BMW AG	München	69.000	4.900	100.000
0 7.	Metro AG	Düsseldorf	67.000	740	288.000
0 8.	Schwarz-Gruppe ( Lidl / Kaufland )	Neckarsulm	63.000	N/A	315.000
0 9.	Deutsche Telekom AG	Bonn	59.000	670	235.000
0 10.	Deutsche Post AG	Bonn	53.000	1.300	471.000
—	Allianz SE	München	104.000	2.800	141.000
—	Deutsche Bank AG	Frankfurt am Main	2.160.000	4.300	101.000
