Week	Date	Opponent	Result	Attendance
1	September 11, 2005	Houston Texans	W 22–7	71,781
2	September 18, 2005	at Tampa Bay Buccaneers	L 19–3	64,777
3	September 25, 2005	Atlanta Falcons	L 24–16	72,032
4	October 2, 2005	at New Orleans Saints	L 19–7	58,688
5	October 9, 2005	Miami Dolphins	W 20–14	72,160
6	October 16, 2005	New York Jets	W 27–17	72,045
7	October 23, 2005	at Oakland Raiders	L 38–17	42,779
8	October 31, 2005	at New England Patriots	L 21–16	68,756
9	Bye	Bye	Bye	Bye
10	November 13, 2005	Kansas City Chiefs	W 14–3	72,093
11	November 20, 2005	at San Diego Chargers	L 48–10	65,602
12	November 27, 2005	Carolina Panthers	L 13–9	71,440
13	December 4, 2005	at Miami Dolphins	L 24–23	72,051
14	December 11, 2005	New England Patriots	L 35–7	71,810
15	December 17, 2005	Denver Broncos	L 28–17	71,887
16	December 24, 2005	at Cincinnati Bengals	W 37–27	65,485
17	January 1, 2006	at New York Jets	L 30–26	76,822
