LEMA/SUBLEMA	Candidates	Votes	Ch. of Senators	Ch. of Deputies
National Party	Total	765990	12	39
“Herrerismo-Renovación y Victoria”	Luis Alberto Lacalle	444839	8	–
“En Defensa de la Nación”	Carlos Julio Pereyra	218656	3	–
“Por la Patria”	Alberto Zumarán	101046	1	–
Lema	–	1449	–	–
Colorado Party	Total	596964	9	30
“Batllismo”	Jorge Batlle	291944	5	–
“Unión Colorada y Batllista”	Jorge Pacheco Areco	289222	4	–
"Batllismo Unido"	Hugo Fernández Faingold	14482	–	–
Lema	–	1316	–	–
Broad Front	Liber Seregni	418403	7	21
Party for the Government of the People	Hugo Batalla	177453	2	9
Ecologist Green Party	Rodolfo V. Tálice	10835	0	0
Justice Movement	Bolívar Espínola	441	0	0
Workers' Party	Vital Andrada	310	0	0
Convergence Party	Nancy Espasandín	190	0	0
Total valid votes	–	1970586	–	–
Blank votes	–	64284	–	–
Null votes	–	21485	–	–
Total votes	–	2056355	–	–
