Tournament	Surface	Week	Winner	Finalist	Semifinalists
Indian Wells	Hard	March 8	Roger Federer (1) 6–3, 6–3	Tim Henman (9)	Andre Agassi (5) Irakli Labadze
Miami	Hard	March 22	Andy Roddick (2) 6–7(2), 6–3, 6–1, retired	Guillermo Coria (3)	Fernando González (21) Vince Spadea
Monte Carlo	Clay	April 19	Guillermo Coria (3) 6–2, 6–1, 6–3	Rainer Schüttler (4)	Marat Safin Carlos Moyá (5)
Rome	Clay	May 3	Carlos Moyá (6) 6–3, 6–3, 6–1	David Nalbandian (5)	Albert Costa Mariano Zabaleta
Hamburg	Clay	May 10	Roger Federer (1) 4–6, 6–4, 6–2, 6–3	Guillermo Coria (2)	Lleyton Hewitt (17) Ivan Ljubičić
Canada (Toronto)	Hard	July 26	Roger Federer (1) 7–5, 6–3	Andy Roddick (2)	Thomas Johansson (LL) Nicolas Kiefer
Cincinnati	Hard	August 2	Andre Agassi (11) 6–3, 3–6, 6–2	Lleyton Hewitt (10)	Tommy Robredo Andy Roddick (2)
Madrid	Carpet (i)	October 18	Marat Safin (3) 6–2, 6–4, 6–3	David Nalbandian (4)	Ivan Ljubičić Andre Agassi (2)
Paris	Carpet (i)	November 1	Marat Safin (6) 6–3, 7–6(5), 6–3	Radek Štěpánek (Q)	Max Mirnyi (Q) Guillermo Cañas (13)
Houston ( TMC )	Hard	November 13	Roger Federer 6–3, 6–2	Lleyton Hewitt	Andy Roddick Marat Safin
