Draw	Artist	Song	Jury	Televoting	Points	Place
1	A-Sortie	"Colours of My Love"	17	16	33	11
2	Polina Smolova	"Na rasstoyanii dykhanya"	12	12	24	16
3	Asılyar	"Qarlığaçlar"	1	1	2	27
4	Zhenya Otradnaya	"Porque amor"	25	25	50	3
5	Aero	"Siberia"	3	4	7	24
6	Anna Mushak & project William	"The Needle"	22	19	41	7
7	Nora Adam	"Gotta Let It Go"	2	2	4	26
8	Natalia Terekhova	"So Can You Tell Me"	6	6	12	22
9	Zhenya Rasskazova	"Otpuskayu tebya"	19	21	40	8
10	Dima Bilan	" Believe "	27	27	54	1
11	Helena Gorskaya	"Always All Alone"	14	13	27	14
12	Aleksandr Panayotov	"Crescent and Cross"	26	26	52	2
13	Pierre Narciss & Jam Sheriff	"Who Am I Without Your Love"	8	8	16	20
14	Julia Mikhalchik	"Cold Fingers"	21	22	43	6
15	Granat	"Another Side of Midnight"	11	10	21	18
16	Sabrina	"Wreck"	10	9	19	19
17	BK!	"Don't Break My Heart"	5	5	10	23
18	Aza Batayeva	"It's No Dream"	7	7	14	21
19	Tamila Bloggy	"Sny"	18	20	38	9
20	Premyer-Ministr	"My - parallelniye miry"	20	18	38	9
21	Anatoly Alyoshin	"One More Try"	13	11	24	16
22	Alexey Vorobyov	"New Russian Kalinka"	23	23	46	5
23	Roman Bezhin	"I'm Missing"	4	3	7	24
24	Sergey Lazarev	"Flyer"	24	24	48	4
25	Natalia Astafyeva	"Tri Luny"	15	14	29	13
26	Max Lorens & Satsura	"Day nam dozhd'"	9	17	26	15
27	Olga Varvus	"King of Seduction"	16	15	31	12
